Description,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference",Ash,"Calcium, Ca","Potassium, K","Zinc, Zn","Selenium, Se","Manganese, Mn","Phosphorus, P","Magnesium, Mg","Copper, Cu","Iron, Fe","Sodium, Na","Sulfur, S","Nickel, Ni","Molybdenum, Mo","Cobalt, Co","Boron, B"
"Beans, Dry, Black (0% moisture)",,0.0,24.4,1.45,,,191.0,1540.0,3.37,,2.08,522.0,180.0,1.12,5.34,,244.0,193.0,920.0,43.8,1250.0
"Beans, Dry, Brown (0% moisture)",,0.0,25.6,1.12,,,158.0,1580.0,3.71,,1.87,543.0,158.0,1.03,4.7,,254.0,256.0,1150.0,55.0,1040.0
"Beans, Dry, Carioca (0% moisture)",,0.0,25.2,1.44,,,194.0,1390.0,3.36,,1.93,535.0,179.0,1.04,5.87,,257.0,177.0,962.0,39.0,1160.0
"Beans, Dry, Cranberry (0% moisture)",,0.0,24.4,1.23,,,152.0,1340.0,3.03,,1.78,487.0,166.0,0.757,5.26,,198.0,77.5,672.0,30.2,1130.0
"Beans, Dry, Navy (0% moisture)",,0.0,24.1,1.51,,,229.0,1470.0,3.31,,2.22,523.0,180.0,1.14,5.29,,244.0,220.0,840.0,38.9,1220.0
"Beans, Dry, Pink (0% moisture)",,0.0,23.4,1.2,,,137.0,1490.0,3.26,,1.7,491.0,164.0,0.947,5.46,,219.0,191.0,607.0,44.0,1170.0
"Beans, Dry, Pinto (0% moisture)",,0.0,23.7,1.24,,,161.0,1510.0,3.43,,1.78,507.0,170.0,0.978,5.4,,219.0,186.0,515.0,49.9,1230.0
"Beans, Dry, Red (0% moisture)",,0.0,21.3,1.16,,,148.0,1540.0,2.84,,1.93,380.0,152.0,0.959,5.05,,204.0,278.0,488.0,56.5,1320.0
"Beans, Dry, Tan (0% moisture)",,0.0,26.8,1.14,,,178.0,1620.0,3.5,,2.16,555.0,198.0,1.1,5.85,,262.0,166.0,804.0,43.5,1240.0
"Beans, Dry, Great Northern (0% moisture)",,0.0,24.7,1.24,,,192.0,1520.0,3.45,,1.9,519.0,176.0,1.08,5.48,,227.0,181.0,557.0,51.2,1250.0
"Beans, Dry, Light Tan (0% moisture)",,0.0,24.6,1.28,,,98.0,1230.0,3.23,,1.69,571.0,178.0,0.932,7.29,,228.0,120.0,534.0,58.5,931.0
"Beans, Dry, Medium Red (0% moisture)",,0.0,25.5,1.04,,,193.0,1490.0,3.82,,2.05,548.0,178.0,1.04,6.27,,232.0,242.0,468.0,52.5,1210.0
"Beans, Dry, Small Red (0% moisture)",,0.0,23.5,1.28,,,149.0,1520.0,3.23,,1.76,493.0,167.0,0.968,4.95,,217.0,188.0,613.0,47.5,1190.0
"Beans, Dry, Small White (0% moisture)",,0.0,24.5,1.32,,,236.0,1540.0,3.54,,2.07,533.0,182.0,1.05,4.93,,241.0,180.0,871.0,38.9,1230.0
"Chickpeas, (garbanzo beans, bengal gram), dry",383.0,8.77,21.3,6.27,60.4,3.32,111.0,1070.0,3.12,,3.58,353.0,135.0,0.804,5.09,8.78,,,,,
"Beans, black, canned, sodium added, drained and rinsed",118.0,70.8,6.91,1.27,19.8,1.21,43.3,253.0,0.74,,0.332,91.0,32.5,0.336,1.69,218.0,,,,,
"Beans, cannellini, canned, sodium added, drained and rinsed",115.0,71.5,7.41,1.17,18.8,1.07,69.2,203.0,0.516,,0.369,94.7,29.3,0.219,1.4,164.0,,,,,
"Beans, Dry, Dark Red Kidney (0% moisture)",,0.0,25.9,1.31,,,98.0,1490.0,3.29,,1.67,612.0,164.0,0.865,6.58,,241.0,79.0,572.0,30.0,1100.0
"Beans, Dry, Flor de Mayo (0% moisture)",,0.0,23.3,0.86,,,180.0,1490.0,3.42,,1.7,439.0,182.0,0.864,4.47,,212.0,172.0,340.0,39.5,1150.0
"Beans, Dry, Light Red Kidney (0% moisture)",,0.0,25.0,1.03,,,103.0,1540.0,3.5,,1.52,549.0,158.0,0.786,6.95,,211.0,76.0,384.0,26.0,1160.0
"Beans, navy, canned, sodium added, drained and rinsed",119.0,71.0,6.57,1.4,20.0,1.09,63.9,184.0,0.631,,0.377,86.7,29.6,0.29,1.6,190.0,,,,,
"Beans, pinto, canned, sodium added, drained and rinsed",117.0,71.3,6.69,1.27,19.6,1.11,55.2,210.0,0.625,,0.317,83.1,27.5,0.255,1.28,202.0,,,,,
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",229.0,52.2,5.59,9.01,31.5,1.74,51.0,305.0,0.94,7.0,0.344,144.0,53.6,0.141,1.46,305.0,,,,,
"Beans, great northern, canned, sodium added, drained and rinsed",117.0,71.2,7.03,1.27,19.3,1.21,67.2,213.0,0.635,,0.463,88.6,29.3,0.256,1.38,223.0,,,,,
"Beans, snap, green, canned, regular pack, drained solids",21.0,93.6,1.04,0.39,4.11,0.89,36.0,97.0,0.19,,0.176,23.0,12.7,0.041,0.78,282.0,,,,,
"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",137.0,68.6,7.02,3.1,20.3,0.975,40.5,137.0,0.724,,0.745,86.5,28.4,0.267,1.04,202.0,,,,,
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",127.0,68.8,7.8,1.26,21.0,1.09,56.9,227.0,0.56,,0.328,104.0,29.3,0.273,1.44,172.0,,,,,
"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",127.0,68.9,7.31,1.3,21.4,1.02,60.2,209.0,0.526,,0.345,93.6,25.5,0.271,1.3,158.0,,,,,
