Description,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference",Ash,Vitamin K (Dihydrophylloquinone),Vitamin K (phylloquinone),"Folate, total","Vitamin C, total ascorbic acid",Niacin,Vitamin B-6,Riboflavin,Thiamin,Pantothenic acid,"Vitamin A, RAE",Lutein + zeaxanthin,"Calcium, Ca","Potassium, K","Zinc, Zn","Selenium, Se","Manganese, Mn","Phosphorus, P","Magnesium, Mg","Copper, Cu","Iron, Fe","Sodium, Na","Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total trans",Tryptophan,Threonine,Methionine,Tyrosine,Alanine,Glutamic acid,Glycine,Proline
"Eggs, Grade A, Large, egg white",55.0,86.3,10.7,0.0,2.36,0.65,,,,,,,0.391,,,,,,,,17.9,,,,,,,,,,,0.188,0.567,0.486,0.466,0.714,1.76,0.422,0.494
"Eggs, Grade A, Large, egg whole",148.0,75.8,12.4,9.96,0.96,0.85,,,71.0,,0.0,0.063,0.419,0.077,,180.0,,48.0,132.0,1.24,31.1,0.0,184.0,11.4,0.0,1.67,129.0,3.2,3.63,1.82,,0.166,0.594,0.418,0.512,0.667,1.63,0.408,0.56
"Eggs, Grade A, Large, egg yolk",334.0,52.1,16.2,28.8,1.02,1.89,,,,,,,0.467,,,,,,,,55.8,,,,,,,,,,,0.174,0.789,0.398,0.684,0.769,1.99,0.47,0.748
"Egg, white, dried",376.0,7.98,79.9,0.65,6.02,5.47,,,,,,,,,,,,104.0,959.0,0.43,,0.0,107.0,87.6,0.0,0.0,1250.0,,,,,,,,,,,,
"Egg, whole, dried",575.0,4.07,48.1,39.8,1.87,6.2,,,,,,,,,,,,220.0,468.0,5.02,,0.0,770.0,44.6,0.0,6.97,485.0,,,,,,,,,,,,
"Egg, yolk, dried",654.0,3.64,34.2,55.5,1.07,5.54,,,,,,,,,,,,270.0,231.0,7.11,,0.0,982.0,26.0,0.0,9.28,149.0,,,,,,,,,,,,
"Egg, white, raw, frozen, pasteurized",48.0,88.3,10.1,0.16,0.74,0.7,,,,,,,,,,,,9.0,130.0,0.02,,0.0,0.0,10.6,0.0,0.18,144.0,,,,,,,,,,,,
"Egg, whole, raw, frozen, pasteurized",150.0,75.4,12.3,10.3,0.91,1.16,,,,,,,,,,,,55.0,117.0,1.2,,0.0,189.0,11.2,0.0,1.77,121.0,,,,,,,,,,,,
"Egg, yolk, raw, frozen, pasteurized",296.0,56.1,15.6,25.1,0.59,2.65,,,,,,,,,,,,119.0,102.0,2.93,,0.068,443.0,11.2,0.0,4.13,66.0,,,,,,,,,,,,
"Butter, stick, salted",,15.8,,82.2,,,,,5.0,,0.0,0.0,0.0,,,758.0,,21.0,23.0,0.07,0.0,0.005,22.0,1.6,0.006,0.06,524.0,45.6,16.9,2.52,,0.01,0.025,0.013,0.017,0.017,0.08,0.007,0.06
"Butter, stick, unsalted",,17.4,,81.5,,,,,,,,,,,,,,14.0,19.0,0.07,,0.0,19.0,1.6,0.001,0.03,10.0,,,,,,,,,,,,
