Description,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference",Ash,"Calcium, Ca","Potassium, K","Zinc, Zn","Selenium, Se","Manganese, Mn","Phosphorus, P","Magnesium, Mg","Copper, Cu","Iron, Fe","Sodium, Na","Molybdenum, Mo","Fiber, total dietary",Thiamin,Riboflavin,Niacin,Vitamin B-6,Biotin
"Buckwheat, whole grain",356,13.0,11.1,3.04,71.1,1.82,13.6,414.0,2.24,13.6,1.23,374.0,203.0,0.476,2.44,0.0,55.2,4.05,0.539,0.178,5.37,0.278,18.6
"Millet, whole grain",376,10.2,10.0,4.19,74.4,1.13,9.1,214.0,2.26,23.1,0.924,258.0,106.0,0.488,2.53,0.0,29.5,2.62,0.411,0.136,4.86,0.192,11.4
"Flour, oat, whole grain",389,8.86,13.2,6.31,69.9,1.75,42.8,373.0,2.75,38.2,3.26,372.0,125.0,0.443,4.0,3.62,125.0,10.5,0.39,0.161,1.94,0.148,20.2
"Flour, spelt, whole grain",364,10.7,14.5,2.54,70.7,1.54,30.0,350.0,3.59,9.48,2.94,362.0,124.0,0.531,3.77,0.0,91.9,9.34,0.298,0.143,5.47,0.236,10.4
"Oats, whole grain, steel cut",381,10.1,12.5,5.8,69.8,1.8,51.3,376.0,2.84,29.0,3.41,417.0,129.0,0.411,3.8,0.311,164.0,,0.334,,0.926,0.119,22.0
"Oats, whole grain, rolled, old fashioned",382,10.2,13.5,5.89,68.7,1.71,45.5,350.0,2.74,25.4,3.23,387.0,126.0,0.428,4.34,0.668,160.0,,0.406,,0.993,0.135,21.9
"Rice, brown, long grain, unenriched, raw",366,11.5,7.25,3.31,76.7,1.28,8.06,250.0,1.85,14.8,2.7,303.0,115.0,0.266,1.24,0.0,63.9,3.02,0.326,0.102,6.27,0.161,4.99
"Rice, white, long grain, unenriched, raw",359,11.2,7.04,1.03,80.3,0.425,4.46,82.3,1.35,6.6,0.981,108.0,26.5,0.214,0.14,0.462,64.2,0.149,0.065,0.08,1.43,0.0579,0.0
"Flour, 00",357,12.2,11.4,1.52,74.4,0.464,18.7,136.0,0.791,10.3,0.552,106.0,25.8,0.168,0.986,0.0,34.4,2.66,0.125,0.0912,1.36,0.0551,
"Flour, amaranth",384,9.49,13.2,6.24,68.8,2.29,135.0,396.0,3.0,21.1,2.3,425.0,233.0,0.518,7.56,0.0,35.1,7.21,0.0588,0.175,0.748,0.387,25.4
"Flour, barley",367,9.9,8.72,2.45,77.4,1.53,35.6,367.0,2.14,13.1,1.18,234.0,88.0,0.394,3.3,20.3,57.4,12.8,0.225,0.146,5.94,0.2,8.61
"Flour, bread, white, enriched, unbleached",363,10.7,14.3,1.65,72.8,0.5,19.0,127.0,1.06,33.3,0.751,124.0,35.9,0.194,5.55,3.0,36.6,,0.953,0.436,6.56,0.079,
"Flour, buckwheat",358,12.0,8.88,2.48,75.0,1.57,30.6,378.0,1.76,15.7,1.54,282.0,167.0,0.53,3.84,0.0,44.6,10.4,0.241,0.16,3.84,0.17,15.1
"Flour, corn, yellow, fine meal, enriched",364,10.8,6.2,1.74,80.8,0.46,0.0,144.0,0.62,8.3,0.172,92.0,30.1,0.082,4.44,0.0,16.4,4.3,0.662,0.354,5.75,0.13,
"Flour, pastry, unenriched, unbleached",358,11.9,8.75,1.64,77.2,0.53,17.0,142.0,0.74,5.0,0.635,102.0,22.4,0.159,0.87,1.0,59.1,,0.146,0.0,0.988,0.065,
"Flour, quinoa",385,9.95,11.9,6.6,69.5,2.0,37.6,551.0,2.77,4.1,2.02,369.0,164.0,0.482,4.53,6.32,17.6,6.3,0.345,0.316,1.21,0.222,26.2
"Flour, rice, brown",365,12.1,7.19,3.85,75.5,1.4,10.0,265.0,1.91,9.68,2.84,319.0,124.0,0.286,1.5,1.0,56.2,,0.322,0.008,5.99,0.132,
"Flour, rice, glutinous",358,11.8,6.69,1.16,80.1,0.22,10.0,80.0,1.34,2.0,0.995,63.0,21.2,0.17,0.34,6.0,40.7,,0.053,0.0,1.12,0.044,
"Flour, rice, white, unenriched",359,11.6,6.94,1.3,79.8,0.35,6.0,75.0,1.19,5.3,0.892,94.0,22.9,0.209,0.22,5.0,45.5,0.5,0.09,0.0,1.25,0.052,
"Flour, rye",359,11.1,8.4,1.91,77.2,1.4,32.2,434.0,2.33,16.6,2.13,280.0,95.4,0.338,2.54,0.0,75.5,13.7,0.216,0.17,1.16,0.164,8.98
"Flour, semolina, coarse and semi-coarse",357,12.2,11.7,1.6,73.8,0.608,17.2,174.0,0.947,29.8,0.647,130.0,35.2,0.227,1.55,0.0,38.3,3.22,0.405,0.247,3.63,0.0828,
"Flour, semolina, fine",358,12.1,13.3,1.84,72.0,0.735,19.8,208.0,1.24,44.1,0.842,163.0,46.3,0.286,2.43,0.426,47.9,3.68,0.695,0.34,5.6,0.108,
"Flour, sorghum",375,9.41,8.27,3.59,77.4,1.34,11.4,335.0,1.66,12.4,1.08,262.0,116.0,0.237,3.72,0.0,48.2,6.02,0.27,0.15,3.95,0.166,24.2
"Flour, wheat, all-purpose, enriched, bleached",366,9.83,10.9,1.48,77.3,0.42,19.0,136.0,0.72,15.7,0.758,108.0,26.7,0.155,5.62,2.0,37.6,,0.939,0.443,6.74,0.066,
"Flour, wheat, all-purpose, enriched, unbleached",358,11.7,13.1,1.48,73.2,0.53,21.0,135.0,0.9,14.2,0.875,115.0,33.3,0.172,5.41,4.0,27.7,,1.05,0.467,7.07,0.079,
"Flour, wheat, all-purpose, unenriched, unbleached",362,11.1,12.0,1.7,74.6,0.56,22.0,150.0,1.15,20.1,0.819,134.0,36.1,0.212,1.18,2.0,42.6,3.0,0.298,0.0,1.59,0.085,
"Flour, whole wheat, unenriched",370,9.44,15.1,2.73,71.2,1.56,38.0,376.0,3.24,23.6,3.56,352.0,136.0,0.452,3.86,3.0,58.5,10.6,0.504,0.128,5.55,0.268,
