Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
"Cheese, cheddar",408,23.3,34,2.44,77,707,26.8
"Cheese, swiss",393,27,31,1.44,71,890,33.4
"Cheese, cotija",351,23.8,27.2,2.72,117,700,29.9
"Cheese, oaxaca",297,22.1,22.1,2.4,80.7,532,21.6
"Cheese, parmesan",421,29.6,28,12.4,184,884,34.9
"Cheese, provolone",357,23.5,28.1,2.45,94.8,749,29.5
"Cheese, monterey jack",392,22.6,32.6,1.9,82.9,715,29.6
"Cheese, parmesan",403,30.1,29.5,4.33,74,950,35.4
"Cheese, queso fresco",298,18.9,23.4,2.96,126,602,27.6
"Cheese, ricotta, whole milk",157,7.81,11,6.86,230,224,19.7
"Cheese, cottage, lowfat, 2% milkfat",84,11,2.3,4.31,120,103,8.9
"Cheese, dry white, queso seco",326,24.5,24.3,2.07,116,661,26.7
"Cheese, feta, whole milk",273,19.7,19.1,5.58,105,371,17.7
"Cream cheese, full fat",343,5.79,33.5,4.56,125,97.1,8.91
"Cheese, mozzarella",298,23.7,20.4,4.44,116,693,27.2
"Cottage cheese, full fat",103,11.6,4.22,4.6,124,88.3,9.19
