Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
"Eggs, Grade A, Large, egg white",55,10.7,0,2.36,,,
"Eggs, Grade A, Large, egg whole",148,12.4,9.96,0.96,132,48,11.4
"Eggs, Grade A, Large, egg yolk",334,16.2,28.8,1.02,,,
"Egg, white, dried",376,79.9,0.65,6.02,959,104,87.6
"Egg, whole, dried",575,48.1,39.8,1.87,468,220,44.6
"Egg, yolk, dried",654,34.2,55.5,1.07,231,270,26
"Butter, stick, salted",,,82.2,,23,21,1.6
"Butter, stick, unsalted",,,81.5,,19,14,1.6
"Buttermilk, low fat",43,3.46,1.08,4.81,158,120,11
"Cream, heavy",343,2.02,35.6,3.8,96.9,61.2,5.97
"Cream, sour, full fat",196,3.07,18,5.56,154,107,10.1
"Milk, lowfat, fluid, 1% milkfat",43,3.38,0.95,5.18,159,126,12
"Milk, nonfat, fluid",34,3.43,0.08,4.92,167,132,12.5
"Milk, reduced fat, fluid, 2% milkfat",50,3.36,1.9,4.9,159,126,12
"Milk, whole, 3.25% milkfat",60,3.27,3.2,4.63,150,123,11.9
"Yogurt, Greek, plain, nonfat",61,10.3,0.37,3.64,141,111,10.7
"Yogurt, Greek, plain, whole milk",94,8.78,4.39,4.75,147,111,10.7
"Yogurt, Greek, strawberry, nonfat",83,8.06,0.15,12.2,133,97,10.4
"Yogurt, plain, nonfat",50,4.23,0.0875,8.08,210,167,15.2
"Yogurt, plain, whole milk",78,3.82,4.48,5.57,164,127,11.4
