Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
"Apple juice, with added vitamin C, from concentrate, shelf stable",48,0.0859,0.286,11.4,95.9,7.1,4.86
"Apples, fuji, with skin, raw",65,0.148,0.162,15.7,104,5.98,4.67
"Apples, gala, with skin, raw",61,0.133,0.15,14.8,106,6.64,4.95
"Apples, granny smith, with skin, raw",59,0.266,0.138,14.1,116,5.48,5.06
"Apples, honeycrisp, with skin, raw",60,0.102,0.1,14.7,98,3.87,4.15
"Apples, red delicious, with skin, raw",62,0.188,0.212,14.8,95.3,4.66,4.7
"Applesauce, unsweetened, with added vitamin C",52,0.273,0.162,12.3,108,3.82,3.94
"Bananas, ripe, raw",97,0.74,0.29,23,326,5,28
"Blueberries, raw",64,0.703,0.306,14.6,85.6,11.7,6.18
"Cherries, sweet, dark red, raw",70,1.04,0.192,16.2,230,12.3,12.1
"Cranberry juice, not fortified, from concentrate, shelf stable",32,0,0.338,7.26,70.6,6.64,4.38
"Figs, dried, uncooked, raw",249,3.3,0.92,63.9,680,162,67.6
"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",66,0.258,0.288,15.6,49.8,9.74,7.87
"Grape juice, white, with added vitamin C, from concentrate, shelf stable",66,0.0938,0.265,15.8,49,7.32,4.27
"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",41,0.57,0.267,9.1,128,8.88,7.75
"Grapefruit juice, white, canned or bottled, unsweetened",37,0.55,0.7,7.59,141,16,9.6
"Grapes, green, seedless, raw",80,0.899,0.232,18.6,218,9.9,7.12
"Grapes, red, seedless, raw",86,0.914,0.164,20.2,229,10.2,8.56
"Kiwifruit, green, raw",58,1.06,0.44,14,198,35,15.7
"Melons, cantaloupe, raw",34,0.82,0.18,8.16,157,9,13
"Nectarines, raw",39,1.06,0.28,9.18,131,2,8.8
"Olives, green, Manzanilla, stuffed with pimiento",130,1.15,12.9,4.96,43,121,12.4
"Orange juice, no pulp, not fortified, from concentrate, refrigerated",47,0.734,0.325,10.3,180,12.8,10.6
"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",46,0.812,0.356,10,183,9.29,10.3
"Oranges, raw, navels",47,0.91,0.15,11.8,166,43,10.7
"Peaches, yellow, raw",42,0.91,0.27,10.1,122,4,8
"Pears, raw, bartlett",57,0.38,0.16,15.1,87,8,5.7
"Pineapple, raw",60,0.461,0.211,14.1,137,12.5,13.4
"Raspberries, raw",57,1.01,0.188,12.9,156,16.4,19.2
"Strawberries, raw",36,0.641,0.22,7.96,161,16.9,12.5
