Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
"Buckwheat, whole grain",356,11.1,3.04,71.1,414,13.6,203
"Millet, whole grain",376,10,4.19,74.4,214,9.1,106
"Flour, oat, whole grain",389,13.2,6.31,69.9,373,42.8,125
"Flour, spelt, whole grain",364,14.5,2.54,70.7,350,30,124
"Oats, whole grain, steel cut",381,12.5,5.8,69.8,376,51.3,129
"Oats, whole grain, rolled, old fashioned",382,13.5,5.89,68.7,350,45.5,126
"Rice, brown, long grain, raw",366,7.25,3.31,76.7,250,8.06,115
"Rice, white, long grain, raw",359,7.04,1.03,80.3,82.3,4.46,26.5
"Flour, 00",357,11.4,1.52,74.4,136,18.7,25.8
"Flour, amaranth",384,13.2,6.24,68.8,396,135,233
"Flour, barley",367,8.72,2.45,77.4,367,35.6,88
"Flour, bread, white, enriched, unbleached",363,14.3,1.65,72.8,127,19,35.9
"Flour, buckwheat",358,8.88,2.48,75,378,30.6,167
"Flour, corn, yellow, fine meal, enriched",364,6.2,1.74,80.8,144,0,30.1
"Flour, pastry, unenriched, unbleached",358,8.75,1.64,77.2,142,17,22.4
"Flour, quinoa",385,11.9,6.6,69.5,551,37.6,164
"Flour, rice, brown",365,7.19,3.85,75.5,265,10,124
"Flour, rice, glutinous",358,6.69,1.16,80.1,80,10,21.2
"Flour, rice, white, unenriched",359,6.94,1.3,79.8,75,6,22.9
"Flour, rye",359,8.4,1.91,77.2,434,32.2,95.4
"Flour, semolina, coarse",357,11.7,1.6,73.8,174,17.2,35.2
"Flour, semolina, fine",358,13.3,1.84,72,208,19.8,46.3
"Flour, sorghum",375,8.27,3.59,77.4,335,11.4,116
"Flour, wheat, all-purpose, enriched, bleached",366,10.9,1.48,77.3,136,19,26.7
"Flour, wheat, all-purpose, enriched, unbleached",358,13.1,1.48,73.2,135,21,33.3
"Flour, wheat, all-purpose, unenriched, unbleached",362,12,1.7,74.6,150,22,36.1
"Flour, whole wheat, unenriched",370,15.1,2.73,71.2,376,38,136
