Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
"Nuts, cashew nuts, raw",565,17.4,38.9,36.3,638,42,251
"Nuts, macadamia nuts, raw",712,7.79,64.9,24.1,373,52.7,107
"Nuts, pine nuts, raw",689,15.7,61.3,18.6,655,8.74,206
"Nuts, pistachio nuts, raw",598,20.5,45,27.7,947,117,110
"Nuts, brazilnuts, raw",664,15,57.4,21.6,592,168,351
"Nuts, almonds, whole, raw",626,21.5,51.1,20,733,254,258
"Nuts, hazelnuts, raw",641,13.5,53.5,26.5,636,135,156
"Nuts, pecans, raw",750,9.96,73.3,12.7,360,54.8,103
"Nuts, walnuts, English, raw",730,14.6,69.7,10.9,424,88.3,142
"Almond butter, creamy",645,20.8,53,21.2,745,264,268
"Flaxseed, ground",545,18,37.3,34.4,793,230,372
"Flour, almond",622,26.2,50.2,16.2,667,232,251
"Flour, chestnut",385,5.29,4.64,80.5,1030,55.8,68.8
"Flour, coconut",438,16.1,15.3,58.9,2090,36,248
"Seeds, pumpkin seeds, raw",555,29.9,40,18.7,691,37.4,500
"Seeds, sunflower seed, kernel, raw",609,18.9,48.4,24.5,657,116,302
"Sesame butter, creamy",697,19.7,62.4,14.2,408,116,357
