Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
"Beans, snap, green, raw",40,1.97,0.275,7.41,290,40,28.2
"Broccoli, raw",31,2.57,0.34,6.27,303,46,21
"Cabbage, green, raw",31,0.961,0.228,6.38,207,41.8,13.9
"Cabbage, red, raw",34,1.24,0.214,6.79,269,31,13.3
"Carrots, baby, raw",41,0.805,0.138,9.08,237,42.2,11.1
"Carrots, mature, raw",48,0.941,0.351,10.3,280,30.5,12.4
"Celery, raw",17,0.492,0.162,3.32,265,46.3,10.9
"Cucumber, with peel, raw",16,0.625,0.178,2.95,170,16.3,10.1
"Flour, cassava",357,0.918,0.494,87.3,198,74.6,33.6
"Flour, potato",361,8.11,0.951,79.9,1270,44.1,73.6
"Garlic, raw",143,6.62,0.38,28.2,,,
"Kale, raw",35,2.92,1.49,4.42,348,254,32.7
"Lettuce, iceberg, raw",17,0.742,0.0738,3.37,139,14.2,6.31
"Lettuce, leaf, green, raw",22,1.09,0.156,4.07,277,39.8,12.8
"Lettuce, leaf, red, raw",18,0.883,0.106,3.26,321,42.6,12.4
"Lettuce, romaine, green, raw",21,0.977,0.0712,4.06,260,27.6,12
"Mushroom, beech",40,2.18,0.449,6.76,376,0.432,10.5
"Mushroom, crimini",30,3.09,0.197,4.01,380,4.1,10.2
"Mushroom, enoki",44,2.42,0.245,8.14,402,1.43,12.8
"Mushroom, king oyster",46,2.41,0.308,8.5,294,0,13.5
"Mushroom, lion's mane",43,2.5,0.256,7.59,443,0,11.7
"Mushroom, maitake",38,2.2,0.265,6.6,260,0,11
"Mushroom, oyster",41,2.9,0.188,6.94,282,0,13.9
"Mushroom, pioppini",39,3.5,0.24,5.76,392,0,16
"Mushroom, portabella",32,2.75,0.312,4.66,349,3.24,9.04
"Mushrooms, shiitake",44,2.41,0.195,8.17,243,0.766,14.1
"Mushrooms, white button",31,2.89,0.371,4.08,373,5.46,10.2
"Onions, red, raw",44,0.94,0.1,9.93,197,17,11.4
"Onions, white, raw",35,0.89,0.13,7.68,141,21,9.3
"Onions, yellow, raw",38,0.83,0.05,8.61,182,15,9
"Peppers, bell, green, raw",23,0.715,0.106,4.78,163,7.5,9
"Peppers, bell, orange, raw",32,0.882,0.156,6.7,201,4.9,10.4
"Peppers, bell, red, raw",31,0.896,0.126,6.65,213,6.36,11
"Peppers, bell, yellow, raw",31,0.819,0.121,6.6,197,6.69,10.3
"Pickles, cucumber",12,0.48,0.43,1.99,112,54,7.1
"Potatoes, gold, without skin, raw",74,1.81,0.264,16,446,5.94,22.3
"Potatoes, red, without skin, raw",76,2.06,0.248,16.3,472,5.13,23.6
"Potatoes, russet, without skin, raw",83,2.27,0.36,17.8,450,7.8,25.6
"Spinach, baby",27,2.85,0.619,2.41,582,68.4,92.9
"Spinach, mature",28,2.91,0.604,2.64,460,66.6,93
"Sweet potatoes, orange flesh, raw",79,1.58,0.375,17.3,486,22.3,19.1
"Tomato, roma",22,0.696,0.425,3.84,193,9.96,8.09
"Tomatoes, canned, red, ripe, diced",18,0.84,0.5,3.32,198,30,9.8
"Tomatoes, grape, raw",27,0.83,0.63,5.51,260,11,11.9
