,Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg",Category
2,"Cheese, blue",353.0,21.4,28.7,2.34,256.0,528.0,23.0,cheese
3,"Cheese, brick",371.0,23.2,29.7,2.79,136.0,674.0,24.0,cheese
4,"Cheese, brie",334.0,20.8,27.7,0.45,152.0,184.0,20.0,cheese
5,"Cheese, camembert",300.0,19.8,24.3,0.46,187.0,388.0,20.0,cheese
6,"Cheese, caraway",376.0,25.2,29.2,3.06,93.0,673.0,22.0,cheese
7,"Cheese, cheshire",387.0,23.4,30.6,4.78,95.0,643.0,21.0,cheese
8,"Cheese, colby",394.0,23.8,32.1,2.57,127.0,685.0,26.0,cheese
9,"Cheese, cream",350.0,6.15,34.4,5.52,132.0,97.0,9.0,cheese
10,"Cheese, edam",357.0,25.0,28.6,1.43,188.0,731.0,30.0,cheese
11,"Cheese, feta",265.0,14.2,21.5,3.88,62.0,493.0,19.0,cheese
12,"Cheese, fontina",389.0,25.6,31.1,1.55,64.0,550.0,14.0,cheese
13,"Cheese, gjetost",466.0,9.65,29.5,42.6,1410.0,400.0,70.0,cheese
14,"Cheese, gouda",356.0,24.9,27.4,2.22,121.0,700.0,29.0,cheese
15,"Cheese, gruyere",413.0,29.8,32.3,0.36,81.0,1010.0,36.0,cheese
16,"Cheese, limburger",327.0,20.0,27.2,0.49,128.0,497.0,21.0,cheese
17,"Cheese, monterey",373.0,24.5,30.3,0.68,81.0,746.0,27.0,cheese
18,"Cheese, muenster",368.0,23.4,30.0,1.12,134.0,717.0,27.0,cheese
19,"Cheese, neufchatel",253.0,9.15,22.8,3.59,152.0,117.0,10.0,cheese
20,"Cheese, provolone",351.0,25.6,26.6,2.14,138.0,756.0,28.0,cheese
21,"Cheese, romano",387.0,31.8,26.9,3.63,86.0,1060.0,41.0,cheese
22,"Cheese, roquefort",369.0,21.5,30.6,2.0,91.0,662.0,30.0,cheese
23,"Cheese, swiss",393.0,27.0,31.0,1.44,72.0,890.0,33.0,cheese
24,"Cheese, tilsit",340.0,24.4,26.0,1.88,65.0,700.0,13.0,cheese
31,"Cheese, cottage, with vegetables",95.0,10.9,4.2,3.0,86.0,56.0,4.0,cheese
32,"Cheese, Mexican blend",384.0,23.5,32.1,0.13,85.0,659.0,25.0,cheese
33,"Cheese, mozzarella, nonfat",141.0,31.7,0.0,3.5,106.0,961.0,33.0,cheese
34,"Cheese, parmesan, grated",420.0,28.4,27.8,13.9,180.0,853.0,34.0,cheese
35,"Cheese, parmesan, hard",392.0,35.8,25.0,3.22,92.0,1180.0,44.0,cheese
36,"Cheese, parmesan, shredded",415.0,37.9,27.3,3.41,97.0,1250.0,51.0,cheese
49,"Cheese, american cheddar, imitation",239.0,16.7,14.0,11.6,242.0,562.0,29.0,cheese
