,Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg",Category
5,"Egg, white, dried",382.0,81.1,0.0,7.8,1120.0,62.0,88.0,egg
6,"Egg, whole, dried",592.0,48.0,43.9,1.13,540.0,244.0,34.0,egg
7,"Egg, yolk, dried",669.0,33.6,59.1,0.66,264.0,289.0,26.0,egg
11,"Egg, white, raw, fresh",52.0,10.9,0.17,0.73,163.0,7.0,11.0,egg
12,"Egg, whole, cooked, fried",196.0,13.6,14.8,0.83,152.0,62.0,13.0,egg
13,"Egg, whole, cooked, omelet",154.0,10.6,11.7,0.64,117.0,48.0,11.0,egg
14,"Egg, whole, cooked, poached",143.0,12.5,9.47,0.71,138.0,56.0,12.0,egg
15,"Egg, whole, cooked, scrambled",149.0,9.99,11.0,1.61,132.0,66.0,11.0,egg
16,"Egg, whole, raw, fresh",143.0,12.6,9.51,0.72,138.0,56.0,12.0,egg
17,"Egg, yolk, raw, fresh",322.0,15.9,26.5,3.59,109.0,129.0,5.0,egg
28,"Egg, duck, whole, fresh, raw",185.0,12.8,13.8,1.45,222.0,64.0,17.0,egg
29,"Egg, goose, whole, fresh, raw",185.0,13.9,13.3,1.35,210.0,60.0,16.0,egg
30,"Egg, quail, whole, fresh, raw",158.0,13.0,11.1,0.41,132.0,64.0,13.0,egg
31,"Egg, turkey, whole, fresh, raw",171.0,13.7,11.9,1.15,142.0,99.0,13.0,egg
32,"Egg, white, raw, frozen, pasteurized",48.0,10.2,0.0,1.04,169.0,8.0,11.0,egg
33,"Egg, whole, cooked, hard-boiled",155.0,12.6,10.6,1.12,126.0,50.0,10.0,egg
34,"Egg, yolk, raw, frozen, pasteurized",296.0,15.5,25.6,0.81,121.0,134.0,11.0,egg
54,"Egg, white, dried, stabilized, glucose reduced",357.0,84.1,0.32,4.51,884.0,101.0,82.0,egg
55,"Egg, whole, dried, stabilized, glucose reduced",615.0,48.2,44.0,2.38,515.0,222.0,49.0,egg
56,"Egg, whole, raw, frozen, salted, pasteurized",138.0,11.0,10.1,0.83,128.0,55.0,9.0,egg
57,"Egg, yolk, raw, frozen, salted, pasteurized",275.0,14.1,22.9,1.77,111.0,113.0,7.0,egg
58,"Egg, yolk, raw, frozen, sugared, pasteurized",307.0,13.9,22.8,11.0,105.0,124.0,10.0,egg
70,"Egg, white, dried, flakes, stabilized, glucose reduced",351.0,76.9,0.04,4.17,1040.0,83.0,67.0,egg
71,"Egg, white, dried, powder, stabilized, glucose reduced",376.0,82.4,0.04,4.47,1120.0,89.0,72.0,egg
90,"Egg, whole, raw, frozen, pasteurized (Includes foods for USDA's Food Distribution Program)",147.0,12.3,9.95,1.01,135.0,62.0,9.0,egg
240,"Milk, buttermilk, dried",387.0,34.3,5.78,49.0,1590.0,1180.0,110.0,egg
241,"Milk, buttermilk, fluid, cultured, lowfat",40.0,3.31,1.07,4.79,151.0,116.0,11.0,egg
242,"Milk, buttermilk, fluid, cultured, reduced fat",56.0,4.1,2.0,5.3,180.0,143.0,13.0,egg
243,"Milk, buttermilk, fluid, whole",62.0,3.21,3.31,4.88,135.0,115.0,10.0,egg
244,"Milk, canned, condensed, sweetened",321.0,7.91,8.7,54.4,371.0,284.0,26.0,egg
245,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",78.0,7.55,0.2,11.4,332.0,290.0,27.0,egg
246,"Milk, canned, evaporated, with added vitamin A",134.0,6.81,7.56,10.0,303.0,261.0,24.0,egg
247,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",134.0,6.81,7.56,10.0,303.0,261.0,24.0,egg
248,"Milk, chocolate beverage, hot cocoa, homemade",77.0,3.52,2.34,10.7,197.0,114.0,23.0,egg
249,"Milk, chocolate, fat free, with added vitamin A and vitamin D",67.0,3.39,0.0,13.5,182.0,127.0,13.0,egg
250,"Milk, chocolate, fluid, commercial, reduced fat, with added calcium",78.0,2.99,1.9,12.1,123.0,194.0,14.0,egg
251,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",76.0,2.99,1.9,12.1,169.0,109.0,14.0,egg
252,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",83.0,3.17,3.39,10.3,167.0,112.0,13.0,egg
253,"Milk, chocolate, lowfat, reduced sugar",57.0,3.43,1.04,7.68,168.0,122.0,13.0,egg
254,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",64.0,3.46,1.11,10.2,172.0,129.0,13.0,egg
255,"Milk, dry, nonfat, calcium reduced",354.0,35.5,0.2,51.8,680.0,280.0,60.0,egg
256,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",358.0,35.1,0.72,52.2,1700.0,1230.0,117.0,egg
257,"Milk, dry, nonfat, instant, without added vitamin A and vitamin D",358.0,35.1,0.72,52.2,1700.0,1230.0,117.0,egg
258,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",362.0,36.2,0.77,52.0,1790.0,1260.0,110.0,egg
259,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",362.0,36.2,0.77,52.0,1790.0,1260.0,110.0,egg
260,"Milk, dry, whole, with added vitamin D",496.0,26.3,26.7,38.4,1330.0,912.0,85.0,egg
