,Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg",Category
7,"Fish, bluefish, raw",124.0,20.0,4.24,0.0,372.0,7.0,33.0,fish
8,"Fish, burbot, raw",90.0,19.3,0.81,0.0,404.0,50.0,32.0,fish
9,"Fish, butterfish, raw",146.0,17.3,8.02,0.0,375.0,22.0,25.0,fish
10,"Fish, carp, raw",127.0,17.8,5.6,0.0,333.0,41.0,29.0,fish
11,"Fish, cisco, raw",98.0,19.0,1.91,0.0,354.0,12.0,17.0,fish
13,"Fish, cusk, raw",87.0,19.0,0.69,0.0,392.0,10.0,31.0,fish
14,"Fish, haddock, raw",74.0,16.3,0.45,0.0,286.0,11.0,21.0,fish
16,"Fish, ling, raw",87.0,19.0,0.64,0.0,379.0,34.0,63.0,fish
17,"Fish, lingcod, raw",85.0,17.7,1.06,0.0,437.0,14.0,26.0,fish
19,"Fish, mahimahi, raw",85.0,18.5,0.7,0.0,416.0,15.0,30.0,fish
20,"Fish, milkfish, raw",148.0,20.5,6.73,0.0,292.0,51.0,30.0,fish
21,"Fish, monkfish, raw",76.0,14.5,1.52,0.0,400.0,8.0,21.0,fish
22,"Fish, sablefish, raw",195.0,13.4,15.3,0.0,358.0,35.0,55.0,fish
24,"Fish, scup, raw",105.0,18.9,2.73,0.0,287.0,40.0,23.0,fish
25,"Fish, sheepshead, raw",108.0,20.2,2.41,0.0,404.0,21.0,32.0,fish
26,"Fish, spot, raw",123.0,18.5,4.9,0.0,496.0,14.0,42.0,fish
27,"Fish, swordfish, raw",144.0,19.7,6.65,0.0,418.0,5.0,29.0,fish
28,"Fish, tilapia, raw",96.0,20.1,1.7,0.0,302.0,10.0,27.0,fish
29,"Fish, tilefish, raw",96.0,17.5,2.31,0.0,433.0,26.0,28.0,fish
33,"Fish, anchovy, european, raw",131.0,20.4,4.84,0.0,383.0,147.0,41.0,fish
34,"Fish, bass, striped, raw",97.0,17.7,2.33,0.0,256.0,15.0,40.0,fish
35,"Fish, cod, Atlantic, raw",82.0,17.8,0.67,0.0,413.0,16.0,32.0,fish
37,"Fish, croaker, Atlantic, raw",104.0,17.8,3.17,0.0,345.0,15.0,40.0,fish
38,"Fish, drum, freshwater, raw",119.0,17.5,4.93,0.0,275.0,60.0,30.0,fish
39,"Fish, halibut, Greenland, raw",186.0,14.4,13.8,0.0,268.0,3.0,26.0,fish
42,"Fish, herring, Atlantic, raw",158.0,18.0,9.04,0.0,327.0,57.0,32.0,fish
43,"Fish, herring, Pacific, raw",195.0,16.4,13.9,0.0,423.0,83.0,32.0,fish
44,"Fish, mackerel, Atlantic, raw",205.0,18.6,13.9,0.0,314.0,12.0,76.0,fish
45,"Fish, mackerel, king, raw",105.0,20.3,2.0,0.0,435.0,31.0,32.0,fish
46,"Fish, mackerel, spanish, raw",139.0,19.3,6.3,0.0,446.0,11.0,33.0,fish
47,"Fish, mullet, striped, raw",117.0,19.4,3.79,0.0,357.0,41.0,29.0,fish
48,"Fish, pike, northern, raw",88.0,19.3,0.69,0.0,259.0,57.0,31.0,fish
49,"Fish, pike, walleye, raw",93.0,19.1,1.22,0.0,389.0,110.0,30.0,fish
51,"Fish, pollock, Alaska, raw",76.0,17.2,0.82,0.0,331.0,12.0,34.0,fish
52,"Fish, pollock, Atlantic, raw",92.0,19.4,0.98,0.0,356.0,60.0,67.0,fish
53,"Fish, pompano, florida, raw",164.0,18.5,9.47,0.0,381.0,22.0,27.0,fish
54,"Fish, pout, ocean, raw",79.0,16.6,0.91,0.0,400.0,10.0,13.0,fish
55,"Fish, roughy, orange, raw",76.0,16.4,0.7,0.0,167.0,9.0,17.0,fish
56,"Fish, salmon, chinook, raw",179.0,19.9,10.4,0.0,394.0,26.0,95.0,fish
58,"Fish, salmon, chum, raw",120.0,20.1,3.77,0.0,429.0,11.0,22.0,fish
59,"Fish, salmon, pink, raw",127.0,20.5,4.4,0.0,366.0,7.0,27.0,fish
60,"Fish, salmon, sockeye, raw",131.0,22.2,4.69,0.0,367.0,9.0,30.0,fish
61,"Fish, shad, american, raw",197.0,16.9,13.8,0.0,384.0,47.0,30.0,fish
62,"Fish, smelt, rainbow, raw",97.0,17.6,2.42,0.0,290.0,60.0,30.0,fish
63,"Fish, sucker, white, raw",92.0,16.8,2.32,0.0,380.0,70.0,30.0,fish
64,"Fish, turbot, european, raw",95.0,16.0,2.95,0.0,238.0,18.0,51.0,fish
65,"Fish, wolffish, Atlantic, raw",96.0,17.5,2.39,0.0,300.0,6.0,30.0,fish
75,"Fish, catfish, channel, farmed, raw",119.0,15.2,5.94,0.0,302.0,8.0,19.0,fish
76,"Fish, catfish, channel, wild, raw",95.0,16.4,2.82,0.0,358.0,14.0,23.0,fish
81,"Fish, eel, mixed species, raw",184.0,18.4,11.7,0.0,272.0,20.0,20.0,fish
83,"Fish, grouper, mixed species, raw",92.0,19.4,1.02,0.0,483.0,27.0,31.0,fish
85,"Fish, halibut, Atlantic and Pacific, raw",91.0,18.6,1.33,0.0,435.0,7.0,23.0,fish
92,"Fish, ocean perch, Atlantic, raw",79.0,15.3,1.54,0.0,187.0,28.0,23.0,fish
93,"Fish, perch, mixed species, raw",91.0,19.4,0.92,0.0,269.0,80.0,30.0,fish
94,"Fish, roe, mixed species, raw",143.0,22.3,6.42,1.5,221.0,22.0,20.0,fish
96,"Fish, salmon, Atlantic, farmed, raw",208.0,20.4,13.4,0.0,363.0,9.0,27.0,fish
97,"Fish, salmon, Atlantic, wild, raw",142.0,19.8,6.34,0.0,490.0,12.0,29.0,fish
98,"Fish, salmon, coho, farmed, raw",160.0,21.3,7.67,0.0,450.0,12.0,31.0,fish
99,"Fish, salmon, coho, wild, raw",146.0,21.6,5.93,0.0,423.0,36.0,31.0,fish
101,"Fish, seatrout, mixed species, raw",104.0,16.7,3.61,0.0,341.0,17.0,31.0,fish
102,"Fish, shark, mixed species, raw",130.0,21.0,4.51,0.0,160.0,34.0,49.0,fish
105,"Fish, snapper, mixed species, raw",100.0,20.5,1.34,0.0,417.0,32.0,32.0,fish
107,"Fish, sturgeon, mixed species, raw",105.0,16.1,4.04,0.0,284.0,13.0,35.0,fish
109,"Fish, sunfish, pumpkin seed, raw",89.0,19.4,0.7,0.0,350.0,80.0,30.0,fish
113,"Fish, trout, mixed species, raw",148.0,20.8,6.61,0.0,361.0,43.0,22.0,fish
114,"Fish, trout, rainbow, farmed, raw",141.0,19.9,6.18,0.0,377.0,25.0,25.0,fish
115,"Fish, trout, rainbow, wild, raw",119.0,20.5,3.46,0.0,481.0,67.0,31.0,fish
116,"Fish, tuna, fresh, bluefin, raw",144.0,23.3,4.9,0.0,252.0,8.0,50.0,fish
117,"Fish, tuna, fresh, skipjack, raw",103.0,22.0,1.01,0.0,407.0,29.0,34.0,fish
118,"Fish, tuna, fresh, yellowfin, raw",109.0,24.4,0.49,0.0,441.0,4.0,35.0,fish
121,"Fish, whitefish, mixed species, raw",134.0,19.1,5.86,0.0,317.0,26.0,33.0,fish
123,"Fish, whiting, mixed species, raw",90.0,18.3,1.31,0.0,249.0,48.0,21.0,fish
124,"Fish, yellowtail, mixed species, raw",146.0,23.1,5.24,0.0,420.0,23.0,30.0,fish
134,"Fish, flatfish (flounder and sole species), raw",70.0,12.4,1.93,0.0,160.0,21.0,18.0,fish
152,"Fish, rockfish, Pacific, mixed species, raw",90.0,18.4,1.34,0.0,386.0,14.0,27.0,fish
164,"Fish, sea bass, mixed species, raw",97.0,18.4,2.0,0.0,256.0,10.0,41.0,fish
173,"Fish, bass, fresh water, mixed species, raw",114.0,18.9,3.69,0.0,356.0,80.0,30.0,fish
181,"Fish, mackerel, Pacific and jack, mixed species, raw",158.0,20.1,7.89,0.0,406.0,23.0,28.0,fish
202,"Fish, trout, brook, raw, New York State",110.0,21.2,2.73,0.0,417.0,25.0,28.0,fish
230,"Fish, cod, Pacific, raw (may have been previously frozen)",69.0,15.3,0.41,0.0,235.0,8.0,20.0,fish
232,"Fish, pollock, Alaska, raw (may contain additives to retain moisture)",56.0,12.2,0.41,0.0,160.0,15.0,16.0,fish
