,Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference",Water,Ash,"Fiber, total dietary","Potassium, K","Magnesium, Mg","Sodium, Na",Category
3,"Chayote, fruit, raw",19.0,0.82,0.13,4.51,94.2,0.3,1.7,125.0,12.0,2.0,fruit
25,"Passion-fruit juice, purple, raw",51.0,0.39,0.05,13.6,85.6,0.34,0.2,278.0,17.0,6.0,fruit
26,"Passion-fruit juice, yellow, raw",60.0,0.67,0.18,14.4,84.2,0.49,0.2,278.0,17.0,6.0,fruit
27,"Passion-fruit, (granadilla), purple, raw",97.0,2.2,0.7,23.4,72.9,0.8,10.4,348.0,29.0,28.0,fruit
72,"Beverages, Fruit punch drink, frozen concentrate",162.0,0.2,0.0,41.4,58.2,0.2,0.4,44.0,6.0,8.0,fruit
90,"Beverages, citrus fruit juice drink, frozen concentrate",162.0,1.2,0.1,40.2,57.4,1.1,0.2,393.0,20.0,3.0,fruit
92,"Beverages, fruit punch juice drink, frozen concentrate",175.0,0.3,0.7,43.1,55.5,0.5,0.2,270.0,11.0,10.0,fruit
110,"Beverages, Fruit punch drink, frozen concentrate, prepared with water",46.0,0.06,0.0,11.7,88.2,0.13,0.1,13.0,2.0,5.0,fruit
121,"Beverages, citrus fruit juice drink, frozen concentrate, prepared with water",46.0,0.34,0.03,11.4,87.8,0.38,0.1,112.0,6.0,4.0,fruit
123,"Beverages, fruit punch juice drink, frozen concentrate, prepared with water",42.0,0.07,0.17,11.4,88.2,0.2,0.0,66.0,3.0,5.0,fruit
164,"Abiyuch, raw",69.0,1.5,0.1,17.6,79.9,0.9,5.3,304.0,24.0,20.0,fruit
165,"Acerola juice, raw",23.0,0.4,0.3,4.8,94.3,0.2,0.3,97.0,12.0,3.0,fruit
166,"Acerola, (west indian cherry), raw",32.0,0.4,0.3,7.69,91.4,0.2,1.1,146.0,18.0,7.0,fruit
170,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",47.0,0.14,0.1,11.5,87.9,0.32,0.1,126.0,5.0,7.0,fruit
171,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",47.0,0.14,0.1,11.5,87.9,0.32,0.1,126.0,5.0,7.0,fruit
172,"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",166.0,0.51,0.37,41.0,57.0,1.12,,448.0,17.0,25.0,fruit
173,"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",166.0,0.51,0.37,41.0,57.0,1.12,0.4,448.0,17.0,25.0,fruit
177,"Apples, dried, sulfured, stewed, with added sugar",83.0,0.2,0.07,20.7,78.8,0.24,1.9,98.0,3.0,19.0,fruit
178,"Apples, dried, sulfured, stewed, without added sugar",57.0,0.22,0.07,15.3,84.1,0.26,2.0,105.0,4.0,20.0,fruit
179,"Apples, dried, sulfured, uncooked",243.0,0.93,0.32,65.9,31.8,1.1,8.7,450.0,16.0,87.0,fruit
