,Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg",Category
8,"Cornmeal, whole-grain, white",362.0,8.12,3.59,76.9,287.0,6.0,127.0,grain
9,"Cornmeal, whole-grain, yellow",362.0,8.12,3.59,76.9,287.0,6.0,127.0,grain
19,"Rice, white, medium-grain, cooked, unenriched",130.0,2.38,0.21,28.6,29.0,3.0,13.0,grain
20,"Rice, white, medium-grain, enriched, cooked",130.0,2.38,0.21,28.6,29.0,3.0,13.0,grain
21,"Rice, white, medium-grain, raw, enriched",360.0,6.61,0.58,79.3,86.0,9.0,35.0,grain
22,"Rice, white, medium-grain, raw, unenriched",360.0,6.61,0.58,79.3,86.0,9.0,35.0,grain
23,"Rice, white, short-grain, cooked, unenriched",130.0,2.36,0.19,28.7,26.0,1.0,8.0,grain
24,"Rice, white, short-grain, enriched, cooked",130.0,2.36,0.19,28.7,26.0,1.0,8.0,grain
25,"Rice, white, short-grain, enriched, uncooked",358.0,6.5,0.52,79.2,76.0,3.0,23.0,grain
26,"Rice, white, short-grain, raw, unenriched",358.0,6.5,0.52,79.2,76.0,3.0,23.0,grain
27,"Wheat flour, whole-grain, soft wheat",332.0,9.61,1.95,74.5,394.0,33.0,117.0,grain
30,"Rice, white, long-grain, parboiled, enriched, cooked",123.0,2.91,0.37,26.0,56.0,19.0,9.0,grain
31,"Rice, white, long-grain, parboiled, enriched, dry",374.0,7.51,1.03,80.9,174.0,71.0,27.0,grain
32,"Rice, white, long-grain, parboiled, unenriched, cooked",123.0,2.91,0.37,26.0,56.0,19.0,9.0,grain
33,"Rice, white, long-grain, parboiled, unenriched, dry",374.0,7.51,1.03,80.9,174.0,71.0,27.0,grain
34,"Rice, white, long-grain, regular, enriched, cooked",130.0,2.69,0.28,28.2,35.0,10.0,12.0,grain
35,"Rice, white, long-grain, regular, raw, enriched",365.0,7.13,0.66,80.0,115.0,28.0,25.0,grain
36,"Rice, white, long-grain, regular, raw, unenriched",365.0,7.13,0.66,80.0,115.0,28.0,25.0,grain
45,"Rice, white, long-grain, precooked or instant, enriched, dry",380.0,7.82,0.94,82.3,27.0,22.0,14.0,grain
46,"Rice, white, long-grain, precooked or instant, enriched, prepared",124.0,2.18,0.5,26.8,9.0,8.0,5.0,grain
47,"Rice, white, long-grain, regular, cooked, enriched, with salt",130.0,2.69,0.28,28.2,35.0,10.0,12.0,grain
48,"Rice, white, long-grain, regular, cooked, unenriched, with salt",130.0,2.69,0.28,28.2,35.0,10.0,12.0,grain
56,"Rice, white, long-grain, regular, unenriched, cooked without salt",130.0,2.69,0.28,28.2,35.0,10.0,12.0,grain
63,"Wheat flour, whole-grain (Includes foods for USDA's Food Distribution Program)",340.0,13.2,2.5,72.0,363.0,34.0,137.0,grain
67,"Rice, brown, long-grain, cooked (Includes foods for USDA's Food Distribution Program)",123.0,2.74,0.97,25.6,86.0,3.0,39.0,grain
68,"Rice, brown, long-grain, raw (Includes foods for USDA's Food Distribution Program)",367.0,7.54,3.2,76.2,250.0,9.0,116.0,grain
69,"Rice, brown, medium-grain, cooked (Includes foods for USDA's Food Distribution Program)",112.0,2.32,0.83,23.5,79.0,10.0,44.0,grain
70,"Rice, brown, medium-grain, raw (Includes foods for USDA's Food Distribution Program)",362.0,7.5,2.68,76.2,268.0,33.0,143.0,grain
106,"Cornmeal, degermed, enriched, white",370.0,7.11,1.75,79.4,142.0,3.0,32.0,grain
107,"Cornmeal, degermed, enriched, yellow",370.0,7.11,1.75,79.4,142.0,3.0,32.0,grain
108,"Cornmeal, degermed, unenriched, white",370.0,7.11,1.75,79.4,142.0,3.0,32.0,grain
109,"Cornmeal, degermed, unenriched, yellow",370.0,7.11,1.75,79.4,142.0,3.0,32.0,grain
110,"Cornmeal, white, self-rising, bolted, plain, enriched",334.0,8.28,3.4,70.3,255.0,361.0,86.0,grain
111,"Cornmeal, white, self-rising, bolted, with wheat flour added, enriched",348.0,8.41,2.85,73.4,207.0,299.0,54.0,grain
112,"Cornmeal, white, self-rising, degermed, enriched",355.0,8.41,1.72,74.8,170.0,350.0,49.0,grain
113,"Cornmeal, yellow, self-rising, bolted, plain, enriched",334.0,8.28,3.4,70.3,255.0,361.0,86.0,grain
114,"Cornmeal, yellow, self-rising, bolted, with wheat flour added, enriched",348.0,8.41,2.85,73.4,207.0,299.0,54.0,grain
115,"Cornmeal, yellow, self-rising, degermed, enriched",355.0,8.41,1.72,74.8,170.0,350.0,49.0,grain
126,"Noodles, chinese, chow mein",471.0,10.9,21.2,63.6,103.0,0.0,19.0,grain
127,"Noodles, egg, cooked, enriched, with added salt",138.0,4.54,2.07,25.2,38.0,12.0,21.0,grain
128,"Noodles, egg, cooked, unenriched, with added salt",138.0,4.54,2.07,25.2,38.0,12.0,21.0,grain
129,"Noodles, egg, dry, enriched",384.0,14.2,4.44,71.3,244.0,35.0,58.0,grain
130,"Noodles, egg, dry, unenriched",384.0,14.2,4.44,71.3,244.0,35.0,58.0,grain
131,"Noodles, egg, enriched, cooked",138.0,4.54,2.07,25.2,38.0,12.0,21.0,grain
132,"Noodles, egg, spinach, enriched, cooked",132.0,5.04,1.57,24.2,37.0,19.0,24.0,grain
133,"Noodles, egg, spinach, enriched, dry",382.0,14.6,4.55,70.3,355.0,56.0,82.0,grain
134,"Noodles, egg, unenriched, cooked, without added salt",138.0,4.54,2.07,25.2,38.0,12.0,21.0,grain
135,"Noodles, japanese, soba, cooked",99.0,5.06,0.1,21.4,35.0,4.0,9.0,grain
