,Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference",Water,Ash,"Fiber, total dietary","Potassium, K","Magnesium, Mg","Sodium, Na",Category
18,"Salsify, (vegetable oyster), raw",82.0,3.3,0.2,18.6,77.0,0.9,3.3,380.0,23.0,20.0,vegetable
130,"Alfalfa seeds, sprouted, raw",23.0,3.99,0.69,2.1,92.8,0.4,1.9,79.0,27.0,6.0,vegetable
131,"Amaranth leaves, cooked, boiled, drained, with salt",21.0,2.11,0.18,4.11,91.5,2.11,,641.0,55.0,257.0,vegetable
132,"Amaranth leaves, cooked, boiled, drained, without salt",21.0,2.11,0.18,4.11,91.5,2.11,,641.0,55.0,21.0,vegetable
133,"Amaranth leaves, raw",23.0,2.46,0.33,4.02,91.7,1.5,,611.0,55.0,20.0,vegetable
134,"Arrowhead, cooked, boiled, drained, with salt",78.0,4.49,0.1,16.1,77.1,2.19,,881.0,49.0,254.0,vegetable
135,"Arrowhead, cooked, boiled, drained, without salt",78.0,4.49,0.1,16.1,77.1,2.19,,881.0,49.0,18.0,vegetable
136,"Arrowhead, raw",99.0,5.33,0.29,20.2,72.5,1.67,,922.0,51.0,22.0,vegetable
137,"Arrowroot, raw",65.0,4.24,0.2,13.4,80.8,1.42,1.3,454.0,25.0,26.0,vegetable
138,"Artichokes, (globe or french), cooked, boiled, drained, with salt",51.0,2.89,0.34,11.4,84.1,1.3,5.7,286.0,42.0,296.0,vegetable
139,"Artichokes, (globe or french), cooked, boiled, drained, without salt",53.0,2.89,0.34,12.0,84.1,0.74,5.7,286.0,42.0,60.0,vegetable
140,"Artichokes, (globe or french), frozen, cooked, boiled, drained, with salt",45.0,3.11,0.5,9.18,86.5,0.71,4.6,264.0,31.0,289.0,vegetable
141,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",45.0,3.11,0.5,9.18,86.5,0.71,4.6,264.0,31.0,53.0,vegetable
143,"Artichokes, (globe or french), raw",47.0,3.27,0.15,10.5,84.9,1.13,5.4,370.0,60.0,94.0,vegetable
144,"Arugula, raw",25.0,2.58,0.66,3.65,91.7,1.4,1.6,369.0,47.0,27.0,vegetable
