Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
"Beans, cannellini, dry",345.0,21.6,2.2,59.8,1420.0,143.0,154.0
"Beans, snap, green, raw",40.0,1.97,0.275,7.41,290.0,40.0,28.2
"Beans, Dry, Black (0% moisture)",,24.4,1.45,,1540.0,191.0,180.0
"Beans, Dry, Brown (0% moisture)",,25.6,1.12,,1580.0,158.0,158.0
"Beans, Dry, Carioca (0% moisture)",,25.2,1.44,,1390.0,194.0,179.0
"Beans, Dry, Cranberry (0% moisture)",,24.4,1.23,,1340.0,152.0,166.0
"Beans, Dry, Navy (0% moisture)",,24.1,1.51,,1470.0,229.0,180.0
"Beans, Dry, Pink (0% moisture)",,23.4,1.2,,1490.0,137.0,164.0
"Beans, Dry, Pinto (0% moisture)",,23.7,1.24,,1510.0,161.0,170.0
"Beans, Dry, Red (0% moisture)",,21.3,1.16,,1540.0,148.0,152.0
"Beans, Dry, Tan (0% moisture)",,26.8,1.14,,1620.0,178.0,198.0
"Beans, Dry, Great Northern (0% moisture)",,24.7,1.24,,1520.0,192.0,176.0
"Beans, Dry, Light Tan (0% moisture)",,24.6,1.28,,1230.0,98.0,178.0
"Beans, Dry, Medium Red (0% moisture)",,25.5,1.04,,1490.0,193.0,178.0
"Beans, Dry, Small Red (0% moisture)",,23.5,1.28,,1520.0,149.0,167.0
"Beans, Dry, Small White (0% moisture)",,24.5,1.32,,1540.0,236.0,182.0
"Chickpeas, (garbanzo beans, bengal gram), dry",383.0,21.3,6.27,60.4,1070.0,111.0,135.0
"Beans, black, canned, sodium added, drained and rinsed",118.0,6.91,1.27,19.8,253.0,43.3,32.5
"Beans, cannellini, canned, sodium added, drained and rinsed",115.0,7.41,1.17,18.8,203.0,69.2,29.3
"Beans, Dry, Dark Red Kidney (0% moisture)",,25.9,1.31,,1490.0,98.0,164.0
"Beans, Dry, Flor de Mayo (0% moisture)",,23.3,0.86,,1490.0,180.0,182.0
"Beans, Dry, Light Red Kidney (0% moisture)",,25.0,1.03,,1540.0,103.0,158.0
"Beans, navy, canned, sodium added, drained and rinsed",119.0,6.57,1.4,20.0,184.0,63.9,29.6
"Beans, pinto, canned, sodium added, drained and rinsed",117.0,6.69,1.27,19.6,210.0,55.2,27.5
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",229.0,5.59,9.01,31.5,305.0,51.0,53.6
"Beans, great northern, canned, sodium added, drained and rinsed",117.0,7.03,1.27,19.3,213.0,67.2,29.3
"Beans, snap, green, canned, regular pack, drained solids",21.0,1.04,0.39,4.11,97.0,36.0,12.7
"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",137.0,7.02,3.1,20.3,137.0,40.5,28.4
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",127.0,7.8,1.26,21.0,227.0,56.9,29.3
"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",127.0,7.31,1.3,21.4,209.0,60.2,25.5
