Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
"Bagels, egg",278.0,10.6,2.1,53.0,68.0,13.0,25.0
"Bread, egg",287.0,9.5,6.0,47.8,115.0,93.0,19.0
"Bread, egg, toasted",315.0,10.5,6.6,52.6,126.0,102.0,21.0
"Crackers, matzo, egg",391.0,12.3,2.1,78.6,150.0,40.0,24.0
"Egg substitute, powder",444.0,55.5,13.0,21.8,744.0,326.0,65.0
"Egg, white, dried",382.0,81.1,0.0,7.8,1120.0,62.0,88.0
"Egg, whole, dried",592.0,48.0,43.9,1.13,540.0,244.0,34.0
"Egg, yolk, dried",669.0,33.6,59.1,0.66,264.0,289.0,26.0
"McDONALD'S, Egg McMUFFIN",228.0,13.6,9.66,21.7,173.0,192.0,20.0
Potato salad with egg,157.0,1.96,9.4,16.2,242.0,15.0,15.0
"Rolls, dinner, egg",307.0,9.5,6.4,52.0,104.0,59.0,25.0
"Egg, white, raw, fresh",52.0,10.9,0.17,0.73,163.0,7.0,11.0
"Egg, whole, cooked, fried",196.0,13.6,14.8,0.83,152.0,62.0,13.0
"Egg, whole, cooked, omelet",154.0,10.6,11.7,0.64,117.0,48.0,11.0
"Egg, whole, cooked, poached",143.0,12.5,9.47,0.71,138.0,56.0,12.0
"Egg, whole, cooked, scrambled",149.0,9.99,11.0,1.61,132.0,66.0,11.0
"Egg, whole, raw, fresh",143.0,12.6,9.51,0.72,138.0,56.0,12.0
"Egg, yolk, raw, fresh",322.0,15.9,26.5,3.59,109.0,129.0,5.0
"Eggs, scrambled, frozen mixture",131.0,13.1,5.6,7.5,147.0,17.0,10.0
"Babyfood, cereal, with eggs, strained",58.0,2.2,1.5,8.0,44.0,27.0,3.0
"Crackers, matzo, egg and onion",391.0,10.0,3.9,77.1,83.0,36.0,30.0
"Egg custards, dry mix",410.0,6.9,6.4,82.8,540.0,228.0,45.0
"Fast foods, egg, scrambled",212.0,13.8,16.2,2.08,147.0,57.0,14.0
"McDONALD'S, Sausage Biscuit with Egg",311.0,11.3,22.3,19.3,165.0,58.0,13.0
"McDONALD'S, Sausage McMUFFIN with Egg",274.0,12.6,17.8,17.3,171.0,172.0,18.0
"Noodles, egg, dry, enriched",384.0,14.2,4.44,71.3,244.0,35.0,58.0
"Noodles, egg, dry, unenriched",384.0,14.2,4.44,71.3,244.0,35.0,58.0
"Noodles, egg, enriched, cooked",138.0,4.54,2.07,25.2,38.0,12.0,21.0
"Egg, duck, whole, fresh, raw",185.0,12.8,13.8,1.45,222.0,64.0,17.0
"Egg, goose, whole, fresh, raw",185.0,13.9,13.3,1.35,210.0,60.0,16.0
"Egg, quail, whole, fresh, raw",158.0,13.0,11.1,0.41,132.0,64.0,13.0
"Egg, turkey, whole, fresh, raw",171.0,13.7,11.9,1.15,142.0,99.0,13.0
"Egg, white, raw, frozen, pasteurized",48.0,10.2,0.0,1.04,169.0,8.0,11.0
"Egg, whole, cooked, hard-boiled",155.0,12.6,10.6,1.12,126.0,50.0,10.0
"Egg, yolk, raw, frozen, pasteurized",296.0,15.5,25.6,0.81,121.0,134.0,11.0
"Babyfood, cereal, with egg yolks, junior",52.0,1.9,1.8,7.1,35.0,24.0,3.0
"Babyfood, cereal, with egg yolks, strained",51.0,1.9,1.8,7.0,39.0,24.0,3.0
"BURGER KING, CROISSAN'WICH with Egg and Cheese",283.0,10.4,15.8,24.8,168.0,231.0,17.0
"Egg rolls, chicken, refrigerated, heated",197.0,10.4,4.51,28.5,281.0,47.0,30.0
"Egg rolls, pork, refrigerated, heated",227.0,9.94,8.18,28.5,212.0,34.0,20.0
"Egg rolls, vegetable, frozen, prepared",214.0,5.95,6.97,31.8,222.0,50.0,23.0
"Fast foods, biscuit, with egg and bacon",305.0,11.3,20.7,19.1,167.0,126.0,16.0
"Fast foods, biscuit, with egg and ham",233.0,10.6,14.1,16.4,166.0,115.0,16.0
"Fast Foods, biscuit, with egg and sausage",312.0,11.1,20.8,21.0,149.0,51.0,13.0
"Fish, whitefish, eggs (Alaska Native)",104.0,14.7,2.88,4.89,190.0,46.0,30.0
"McDONALD'S, Bacon Egg & Cheese Biscuit",304.0,13.4,18.8,22.3,121.0,109.0,12.0
"McDONALD'S, Bacon, Egg & Cheese McGRIDDLES",272.0,12.0,13.2,26.2,,109.0,
"McDONALD'S, Sausage, Egg & Cheese McGRIDDLES",283.0,10.8,17.7,22.0,146.0,96.0,14.0
"Noodles, egg, spinach, enriched, cooked",132.0,5.04,1.57,24.2,37.0,19.0,24.0
"Noodles, egg, spinach, enriched, dry",382.0,14.6,4.55,70.3,355.0,56.0,82.0
"Pasta, homemade, made with egg, cooked",130.0,5.28,1.74,23.5,21.0,10.0,14.0
"Pie, egg custard, commercially prepared",210.0,5.5,11.6,20.8,106.0,80.0,11.0
"Sausage, egg and cheese breakfast biscuit",324.0,9.54,22.1,21.6,269.0,136.0,16.0
"Egg substitute, liquid or frozen, fat free",48.0,10.0,0.0,2.0,213.0,73.0,15.0
"Egg, white, dried, stabilized, glucose reduced",357.0,84.1,0.32,4.51,884.0,101.0,82.0
"Egg, whole, dried, stabilized, glucose reduced",615.0,48.2,44.0,2.38,515.0,222.0,49.0
