Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
"Fish, fish sticks, frozen, prepared",277.0,11.0,16.2,21.7,185.0,16.0,25.0
Fish broth,16.0,2.0,0.6,0.4,86.0,30.0,1.0
"Fish, surimi",99.0,15.2,0.9,6.85,112.0,9.0,43.0
"Fish oil, herring",902.0,0.0,100.0,0.0,0.0,0.0,0.0
"Fish oil, menhaden",902.0,0.0,100.0,0.0,0.0,0.0,0.0
"Fish oil, salmon",902.0,0.0,100.0,0.0,0.0,0.0,0.0
"Fish oil, sardine",902.0,0.0,100.0,0.0,0.0,0.0,0.0
"Fish, bluefish, raw",124.0,20.0,4.24,0.0,372.0,7.0,33.0
"Fish, burbot, raw",90.0,19.3,0.81,0.0,404.0,50.0,32.0
"Fish, butterfish, raw",146.0,17.3,8.02,0.0,375.0,22.0,25.0
"Fish, carp, raw",127.0,17.8,5.6,0.0,333.0,41.0,29.0
"Fish, cisco, raw",98.0,19.0,1.91,0.0,354.0,12.0,17.0
"Fish, cisco, smoked",177.0,16.4,11.9,0.0,293.0,26.0,17.0
"Fish, cusk, raw",87.0,19.0,0.69,0.0,392.0,10.0,31.0
"Fish, haddock, raw",74.0,16.3,0.45,0.0,286.0,11.0,21.0
"Fish, haddock, smoked",116.0,25.2,0.96,0.0,415.0,49.0,54.0
"Fish, ling, raw",87.0,19.0,0.64,0.0,379.0,34.0,63.0
"Fish, lingcod, raw",85.0,17.7,1.06,0.0,437.0,14.0,26.0
"Fish, mackerel, salted",305.0,18.5,25.1,0.0,520.0,66.0,60.0
"Fish, mahimahi, raw",85.0,18.5,0.7,0.0,416.0,15.0,30.0
"Fish, milkfish, raw",148.0,20.5,6.73,0.0,292.0,51.0,30.0
"Fish, monkfish, raw",76.0,14.5,1.52,0.0,400.0,8.0,21.0
"Fish, sablefish, raw",195.0,13.4,15.3,0.0,358.0,35.0,55.0
"Fish, sablefish, smoked",257.0,17.6,20.1,0.0,471.0,50.0,74.0
"Fish, scup, raw",105.0,18.9,2.73,0.0,287.0,40.0,23.0
"Fish, sheepshead, raw",108.0,20.2,2.41,0.0,404.0,21.0,32.0
"Fish, spot, raw",123.0,18.5,4.9,0.0,496.0,14.0,42.0
"Fish, swordfish, raw",144.0,19.7,6.65,0.0,418.0,5.0,29.0
"Fish, tilapia, raw",96.0,20.1,1.7,0.0,302.0,10.0,27.0
"Fish, tilefish, raw",96.0,17.5,2.31,0.0,433.0,26.0,28.0
"Fish, tuna salad",187.0,16.0,9.26,9.41,178.0,17.0,19.0
"Crackers, flavored, fish-shaped",463.0,10.2,17.7,65.7,224.0,83.0,25.0
"Fish oil, cod liver",902.0,0.0,100.0,0.0,0.0,0.0,0.0
"Fish, anchovy, european, raw",131.0,20.4,4.84,0.0,383.0,147.0,41.0
"Fish, bass, striped, raw",97.0,17.7,2.33,0.0,256.0,15.0,40.0
"Fish, cod, Atlantic, raw",82.0,17.8,0.67,0.0,413.0,16.0,32.0
"Fish, cod, Pacific, cooked",84.0,20.4,0.25,0.0,372.0,17.0,35.0
"Fish, croaker, Atlantic, raw",104.0,17.8,3.17,0.0,345.0,15.0,40.0
"Fish, drum, freshwater, raw",119.0,17.5,4.93,0.0,275.0,60.0,30.0
"Fish, halibut, Greenland, raw",186.0,14.4,13.8,0.0,268.0,3.0,26.0
"Fish, herring, Atlantic, kippered",217.0,24.6,12.4,0.0,447.0,84.0,46.0
"Fish, herring, Atlantic, pickled",262.0,14.2,18.0,9.64,69.0,77.0,8.0
"Fish, herring, Atlantic, raw",158.0,18.0,9.04,0.0,327.0,57.0,32.0
"Fish, herring, Pacific, raw",195.0,16.4,13.9,0.0,423.0,83.0,32.0
"Fish, mackerel, Atlantic, raw",205.0,18.6,13.9,0.0,314.0,12.0,76.0
"Fish, mackerel, king, raw",105.0,20.3,2.0,0.0,435.0,31.0,32.0
"Fish, mackerel, spanish, raw",139.0,19.3,6.3,0.0,446.0,11.0,33.0
"Fish, mullet, striped, raw",117.0,19.4,3.79,0.0,357.0,41.0,29.0
"Fish, pike, northern, raw",88.0,19.3,0.69,0.0,259.0,57.0,31.0
"Fish, pike, walleye, raw",93.0,19.1,1.22,0.0,389.0,110.0,30.0
"Fish, pollock, Alaska, cooked",87.0,19.4,0.995,0.0,364.0,13.0,37.0
"Fish, pollock, Alaska, raw",76.0,17.2,0.82,0.0,331.0,12.0,34.0
"Fish, pollock, Atlantic, raw",92.0,19.4,0.98,0.0,356.0,60.0,67.0
"Fish, pompano, florida, raw",164.0,18.5,9.47,0.0,381.0,22.0,27.0
"Fish, pout, ocean, raw",79.0,16.6,0.91,0.0,400.0,10.0,13.0
"Fish, roughy, orange, raw",76.0,16.4,0.7,0.0,167.0,9.0,17.0
"Fish, salmon, chinook, raw",179.0,19.9,10.4,0.0,394.0,26.0,95.0
"Fish, salmon, chinook, smoked",117.0,18.3,4.32,0.0,175.0,11.0,18.0
"Fish, salmon, chum, raw",120.0,20.1,3.77,0.0,429.0,11.0,22.0
"Fish, salmon, pink, raw",127.0,20.5,4.4,0.0,366.0,7.0,27.0
"Fish, salmon, sockeye, raw",131.0,22.2,4.69,0.0,367.0,9.0,30.0
"Fish, shad, american, raw",197.0,16.9,13.8,0.0,384.0,47.0,30.0
"Fish, smelt, rainbow, raw",97.0,17.6,2.42,0.0,290.0,60.0,30.0
"Fish, sucker, white, raw",92.0,16.8,2.32,0.0,380.0,70.0,30.0
"Fish, turbot, european, raw",95.0,16.0,2.95,0.0,238.0,18.0,51.0
"Fish, wolffish, Atlantic, raw",96.0,17.5,2.39,0.0,300.0,6.0,30.0
"McDONALD'S, FILET-O-FISH",282.0,11.3,14.6,26.4,220.0,120.0,27.0
"Sauce, fish, ready-to-serve",35.0,5.06,0.01,3.64,288.0,43.0,175.0
"BURGER KING, Premium Fish Sandwich",260.0,10.3,12.4,26.7,206.0,37.0,25.0
"Fish oil, menhaden, fully hydrogenated",902.0,0.0,100.0,0.0,0.0,0.0,0.0
"Fish, blackfish, whole (Alaska Native)",82.0,15.5,1.75,0.0,,236.0,
"Fish, bluefish, cooked, dry heat",159.0,25.7,5.44,0.0,477.0,9.0,42.0
"Fish, burbot, cooked, dry heat",115.0,24.8,1.04,0.0,518.0,64.0,41.0
"Fish, butterfish, cooked, dry heat",187.0,22.2,10.3,0.0,481.0,28.0,32.0
"Fish, carp, cooked, dry heat",162.0,22.9,7.17,0.0,427.0,52.0,38.0
"Fish, catfish, channel, farmed, raw",119.0,15.2,5.94,0.0,302.0,8.0,19.0
"Fish, catfish, channel, wild, raw",95.0,16.4,2.82,0.0,358.0,14.0,23.0
"Fish, caviar, black and red, granular",264.0,24.6,17.9,4.0,181.0,275.0,300.0
"Fish, cod, Atlantic, dried and salted",290.0,62.8,2.37,0.0,1460.0,160.0,133.0
"Fish, cusk, cooked, dry heat",112.0,24.4,0.88,0.0,503.0,13.0,40.0
"Fish, devilfish, meat (Alaska Native)",97.0,11.7,5.3,0.0,,12.0,
"Fish, eel, mixed species, raw",184.0,18.4,11.7,0.0,272.0,20.0,20.0
"Fish, gefiltefish, commercial, sweet recipe",84.0,9.07,1.73,7.41,91.0,23.0,9.0
"Fish, grouper, mixed species, raw",92.0,19.4,1.02,0.0,483.0,27.0,31.0
"Fish, haddock, cooked, dry heat",90.0,20.0,0.55,0.0,351.0,14.0,26.0
"Fish, halibut, Atlantic and Pacific, raw",91.0,18.6,1.33,0.0,435.0,7.0,23.0
"Fish, ling, cooked, dry heat",111.0,24.4,0.82,0.0,486.0,44.0,81.0
"Fish, lingcod, cooked, dry heat",109.0,22.6,1.36,0.0,560.0,18.0,33.0
"Fish, lingcod, liver (Alaska Native)",424.0,5.6,42.0,6.0,,5.0,
"Fish, mahimahi, cooked, dry heat",109.0,23.7,0.9,0.0,533.0,19.0,38.0
"Fish, milkfish, cooked, dry heat",190.0,26.3,8.63,0.0,374.0,65.0,38.0
"Fish, monkfish, cooked, dry heat",97.0,18.6,1.95,0.0,513.0,10.0,27.0
"Fish, ocean perch, Atlantic, raw",79.0,15.3,1.54,0.0,187.0,28.0,23.0
"Fish, perch, mixed species, raw",91.0,19.4,0.92,0.0,269.0,80.0,30.0
"Fish, roe, mixed species, raw",143.0,22.3,6.42,1.5,221.0,22.0,20.0
"Fish, sablefish, cooked, dry heat",250.0,17.2,19.6,0.0,459.0,45.0,71.0
"Fish, salmon, Atlantic, farmed, raw",208.0,20.4,13.4,0.0,363.0,9.0,27.0
"Fish, salmon, Atlantic, wild, raw",142.0,19.8,6.34,0.0,490.0,12.0,29.0
"Fish, salmon, coho, farmed, raw",160.0,21.3,7.67,0.0,450.0,12.0,31.0
"Fish, salmon, coho, wild, raw",146.0,21.6,5.93,0.0,423.0,36.0,31.0
"Fish, scup, cooked, dry heat",135.0,24.2,3.5,0.0,368.0,51.0,29.0
"Fish, seatrout, mixed species, raw",104.0,16.7,3.61,0.0,341.0,17.0,31.0
"Fish, shark, mixed species, raw",130.0,21.0,4.51,0.0,160.0,34.0,49.0
"Fish, sheefish, raw (Alaska Native)",115.0,22.2,2.84,0.0,390.0,140.0,25.0
"Fish, sheepshead, cooked, dry heat",126.0,26.0,1.63,0.0,512.0,37.0,35.0
"Fish, snapper, mixed species, raw",100.0,20.5,1.34,0.0,417.0,32.0,32.0
"Fish, spot, cooked, dry heat",158.0,23.7,6.28,0.0,636.0,18.0,54.0
"Fish, sturgeon, mixed species, raw",105.0,16.1,4.04,0.0,284.0,13.0,35.0
"Fish, sturgeon, mixed species, smoked",173.0,31.2,4.4,0.0,379.0,17.0,47.0
"Fish, sunfish, pumpkin seed, raw",89.0,19.4,0.7,0.0,350.0,80.0,30.0
"Fish, swordfish, cooked, dry heat",172.0,23.4,7.93,0.0,499.0,6.0,35.0
"Fish, tilapia, cooked, dry heat",128.0,26.2,2.65,0.0,380.0,14.0,34.0
"Fish, tilefish, cooked, dry heat",147.0,24.5,4.69,0.0,512.0,26.0,33.0
"Fish, trout, mixed species, raw",148.0,20.8,6.61,0.0,361.0,43.0,22.0
"Fish, trout, rainbow, farmed, raw",141.0,19.9,6.18,0.0,377.0,25.0,25.0
"Fish, trout, rainbow, wild, raw",119.0,20.5,3.46,0.0,481.0,67.0,31.0
"Fish, tuna, fresh, bluefin, raw",144.0,23.3,4.9,0.0,252.0,8.0,50.0
"Fish, tuna, fresh, skipjack, raw",103.0,22.0,1.01,0.0,407.0,29.0,34.0
"Fish, tuna, fresh, yellowfin, raw",109.0,24.4,0.49,0.0,441.0,4.0,35.0
"Fish, whitefish, dried (Alaska Native)",371.0,62.4,13.4,0.0,1080.0,810.0,85.0
"Fish, whitefish, eggs (Alaska Native)",104.0,14.7,2.88,4.89,190.0,46.0,30.0
"Fish, whitefish, mixed species, raw",134.0,19.1,5.86,0.0,317.0,26.0,33.0
"Fish, whitefish, mixed species, smoked",108.0,23.4,0.93,0.0,423.0,18.0,23.0
"Fish, whiting, mixed species, raw",90.0,18.3,1.31,0.0,249.0,48.0,21.0
"Fish, yellowtail, mixed species, raw",146.0,23.1,5.24,0.0,420.0,23.0,30.0
"Soup, fish, homemade (Alaska Native)",72.0,7.4,2.2,5.6,128.0,35.0,1.0
"Soup, stock, fish, home-prepared",16.0,2.26,0.81,0.0,144.0,3.0,7.0
"Fast foods, fish sandwich, with tartar sauce",257.0,10.3,12.4,26.7,206.0,37.0,25.0
"Fish, bass, striped, cooked, dry heat",124.0,22.7,2.99,0.0,328.0,19.0,51.0
"Fish, catfish, channel, cooked, breaded and fried",229.0,18.1,13.3,8.04,340.0,44.0,27.0
"Fish, cod, Atlantic, canned, solids and liquid",105.0,22.8,0.86,0.0,528.0,21.0,41.0
"Fish, cod, Atlantic, cooked, dry heat",105.0,22.8,0.86,0.0,244.0,14.0,42.0
"Fish, croaker, Atlantic, cooked, breaded and fried",221.0,18.2,12.7,7.54,340.0,32.0,42.0
"Fish, drum, freshwater, cooked, dry heat",153.0,22.5,6.32,0.0,353.0,77.0,38.0
"Fish, flatfish (flounder and sole species), raw",70.0,12.4,1.93,0.0,160.0,21.0,18.0
"Fish, halibut, cooked, with skin (Alaska Native)",113.0,22.1,2.73,0.0,501.0,33.0,29.0
"Fish, halibut, greenland, cooked, dry heat",239.0,18.4,17.7,0.0,344.0,4.0,33.0
"Fish, halibut, raw, with skin (Alaska Native)",116.0,20.5,2.92,1.81,449.0,20.0,26.0
"Fish, herring, Atlantic, cooked, dry heat",203.0,23.0,11.6,0.0,419.0,74.0,41.0
"Fish, herring, Pacific, cooked, dry heat",250.0,21.0,17.8,0.0,542.0,106.0,41.0
"Fish, lingcod, meat, raw (Alaska Native)",79.0,17.9,0.8,0.0,433.0,,
"Fish, mackerel, Atlantic, cooked, dry heat",262.0,23.8,17.8,0.0,401.0,15.0,97.0
"Fish, mackerel, jack, canned, drained solids",156.0,23.2,6.3,0.0,194.0,241.0,37.0
