Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference",Water,Ash,"Fiber, total dietary","Potassium, K","Magnesium, Mg","Sodium, Na"
Candied fruit,322.0,0.34,0.07,82.7,16.7,0.14,1.6,56.0,4.0,98.0
Fruit syrup,341.0,0.0,0.0,85.1,14.7,0.13,0.1,7.0,1.0,0.0
"Cake, coffeecake, fruit",311.0,5.2,10.2,51.5,31.7,1.2,2.5,90.0,17.0,385.0
"Chayote, fruit, raw",19.0,0.82,0.13,4.51,94.2,0.3,1.7,125.0,12.0,2.0
"Fruit butters, apple",173.0,0.39,0.3,42.5,56.4,0.39,1.5,91.0,4.0,15.0
"Syrup, fruit flavored",261.0,0.0,0.02,65.1,34.8,0.06,0.0,1.0,1.0,0.0
"Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars",330.0,0.82,2.24,76.6,19.1,1.24,2.0,312.0,9.0,14.0
"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Fruit and Creme",408.0,0.41,8.36,82.4,8.7,0.1,0.0,,,2.0
"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Original fruits",408.0,0.41,8.21,82.6,8.51,0.3,0.0,2.0,1.0,2.0
"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Tropical fruits",409.0,0.41,8.31,82.8,8.51,0.3,0.0,,,2.0
"Babyfood, cookie, baby, fruit",435.0,6.8,12.6,73.7,5.7,1.2,3.4,425.0,30.0,9.0
"Babyfood, fruit supreme dessert",73.0,0.5,0.2,17.2,81.6,0.52,2.0,129.0,7.0,1.0
"Babyfood, fruit, applesauce, junior",37.0,0.0,0.0,10.3,89.5,0.2,1.7,77.0,3.0,1.0
"Babyfood, fruit, applesauce, strained",41.0,0.2,0.2,10.8,88.6,0.2,1.7,71.0,3.0,0.0
"Babyfood, fruit, peaches, junior",65.0,0.94,0.33,14.5,83.6,0.59,1.3,195.0,7.0,4.0
"Babyfood, fruit, peaches, strained",65.0,0.94,0.33,14.5,83.6,0.59,1.3,195.0,7.0,4.0
"Babyfood, fruit, pears, junior",44.0,0.3,0.1,11.6,87.8,0.2,2.8,115.0,9.0,1.0
"Babyfood, fruit, pears, strained",42.0,0.3,0.2,10.8,88.4,0.3,2.8,130.0,8.0,1.0
"Babyfood, juice, mixed fruit",47.0,0.1,0.1,11.7,87.9,0.2,0.1,101.0,5.0,8.0
"Babyfood, tropical fruit medley",46.0,0.31,0.14,12.2,87.1,0.19,1.3,141.0,5.0,0.0
"Cheese, cottage, creamed, with fruit",97.0,10.7,3.85,4.61,79.6,1.2,0.2,90.0,7.0,344.0
"Pie, fried pies, fruit",316.0,3.0,16.1,42.6,37.6,1.1,2.6,65.0,10.0,333.0
"Snacks, fruit leather, pieces",359.0,1.0,2.68,82.8,12.3,1.2,0.0,164.0,14.0,199.0
"Snacks, fruit leather, rolls",371.0,0.1,3.0,85.8,10.2,0.9,0.0,294.0,20.0,317.0
"Yogurt, fruit variety, nonfat",95.0,4.4,0.2,19.0,75.4,1.0,0.0,194.0,15.0,58.0
"Passion-fruit juice, purple, raw",51.0,0.39,0.05,13.6,85.6,0.34,0.2,278.0,17.0,6.0
"Passion-fruit juice, yellow, raw",60.0,0.67,0.18,14.4,84.2,0.49,0.2,278.0,17.0,6.0
"Passion-fruit, (granadilla), purple, raw",97.0,2.2,0.7,23.4,72.9,0.8,10.4,348.0,29.0,28.0
"Babyfood, dessert, tropical fruit, junior",60.0,0.2,0.0,16.4,83.2,0.2,,58.0,5.0,7.0
"Babyfood, fruit dessert, mango with tapioca",70.0,0.3,0.2,19.0,80.0,0.33,1.1,66.0,6.0,4.0
"Babyfood, fruit, apple and blueberry, junior",62.0,0.2,0.2,16.6,82.8,0.19,1.8,65.0,3.0,1.0
"Babyfood, fruit, apple and blueberry, strained",61.0,0.2,0.2,16.3,83.1,0.2,1.8,69.0,3.0,1.0
"Babyfood, fruit, apple and raspberry, junior",58.0,0.2,0.2,15.4,84.0,0.2,2.1,72.0,4.0,0.0
"Babyfood, fruit, apple and raspberry, strained",58.0,0.2,0.2,15.6,83.8,0.2,2.1,80.0,4.0,0.0
"Babyfood, fruit, applesauce and apricots, junior",47.0,0.2,0.2,12.4,86.9,0.24,1.8,109.0,4.0,0.0
"Babyfood, fruit, applesauce and apricots, strained",44.0,0.2,0.2,11.6,87.7,0.26,1.8,120.0,4.0,0.0
