Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
Rye grain,338.0,10.3,1.63,75.9,510.0,24.0,110.0
Sorghum grain,329.0,10.6,3.46,72.1,363.0,13.0,165.0
"Bread, multi-grain (includes whole-grain)",265.0,13.4,4.23,43.3,230.0,103.0,78.0
"Bread, multi-grain, toasted (includes whole-grain)",288.0,14.5,4.6,47.1,250.0,111.0,85.0
"Amaranth grain, cooked",102.0,3.8,1.58,18.7,135.0,47.0,65.0
"Amaranth grain, uncooked",371.0,13.6,7.02,65.2,508.0,159.0,248.0
"Corn grain, white",365.0,9.42,4.74,74.3,287.0,7.0,127.0
"Corn grain, yellow",365.0,9.42,4.74,74.3,287.0,7.0,127.0
"Cornmeal, whole-grain, white",362.0,8.12,3.59,76.9,287.0,6.0,127.0
"Cornmeal, whole-grain, yellow",362.0,8.12,3.59,76.9,287.0,6.0,127.0
"Sorghum flour, whole-grain",359.0,8.43,3.34,76.6,324.0,12.0,123.0
"Triticale flour, whole-grain",338.0,13.2,1.81,73.1,466.0,35.0,153.0
"Bagels, whole grain white",255.0,9.3,0.0,54.5,176.0,93.0,41.0
"Crackers, cheese, whole grain",412.0,9.62,16.0,57.3,212.0,128.0,68.0
"Corn flour, whole-grain, white",361.0,6.93,3.86,76.8,315.0,7.0,93.0
"Corn flour, whole-grain, yellow",361.0,6.93,3.86,76.8,315.0,7.0,93.0
"Biscuits, mixed grain, refrigerated dough",263.0,6.1,5.6,47.4,456.0,17.0,30.0
"English muffins, whole grain white",245.0,7.02,1.75,50.2,130.0,140.0,33.0
"Rolls, hamburger or hotdog, mixed-grain",263.0,9.6,6.0,44.6,160.0,95.0,44.0
"Rice, white, medium-grain, cooked, unenriched",130.0,2.38,0.21,28.6,29.0,3.0,13.0
"Rice, white, medium-grain, enriched, cooked",130.0,2.38,0.21,28.6,29.0,3.0,13.0
"Rice, white, medium-grain, raw, enriched",360.0,6.61,0.58,79.3,86.0,9.0,35.0
"Rice, white, medium-grain, raw, unenriched",360.0,6.61,0.58,79.3,86.0,9.0,35.0
"Rice, white, short-grain, cooked, unenriched",130.0,2.36,0.19,28.7,26.0,1.0,8.0
"Rice, white, short-grain, enriched, cooked",130.0,2.36,0.19,28.7,26.0,1.0,8.0
"Rice, white, short-grain, enriched, uncooked",358.0,6.5,0.52,79.2,76.0,3.0,23.0
"Rice, white, short-grain, raw, unenriched",358.0,6.5,0.52,79.2,76.0,3.0,23.0
"Wheat flour, whole-grain, soft wheat",332.0,9.61,1.95,74.5,394.0,33.0,117.0
"Muffins, English, mixed-grain (includes granola)",235.0,9.1,1.8,46.3,156.0,196.0,41.0
"Snacks, NUTRI-GRAIN FRUIT AND NUT BAR",403.0,9.38,10.9,66.7,328.0,65.0,105.0
"Rice, white, long-grain, parboiled, enriched, cooked",123.0,2.91,0.37,26.0,56.0,19.0,9.0
"Rice, white, long-grain, parboiled, enriched, dry",374.0,7.51,1.03,80.9,174.0,71.0,27.0
"Rice, white, long-grain, parboiled, unenriched, cooked",123.0,2.91,0.37,26.0,56.0,19.0,9.0
"Rice, white, long-grain, parboiled, unenriched, dry",374.0,7.51,1.03,80.9,174.0,71.0,27.0
"Rice, white, long-grain, regular, enriched, cooked",130.0,2.69,0.28,28.2,35.0,10.0,12.0
"Rice, white, long-grain, regular, raw, enriched",365.0,7.13,0.66,80.0,115.0,28.0,25.0
"Rice, white, long-grain, regular, raw, unenriched",365.0,7.13,0.66,80.0,115.0,28.0,25.0
"Babyfood, Multigrain whole grain cereal, dry fortified",407.0,6.67,6.67,80.1,467.0,800.0,95.0
"Beverages, coffee substitute, cereal grain beverage, powder",360.0,6.01,2.52,78.4,2440.0,58.0,244.0
"Cereals ready-to-eat, WEETABIX whole grain cereal",371.0,11.4,2.86,81.5,429.0,57.0,92.0
"Crackers, saltines, whole wheat (includes multi-grain)",398.0,7.14,10.7,68.2,221.0,0.0,70.0
"Rolls, hamburger, whole grain white, calcium-fortified",255.0,9.3,3.49,46.5,190.0,233.0,38.0
"School Lunch, chicken nuggets, whole grain breaded",270.0,15.7,12.9,22.9,231.0,32.0,24.0
"School Lunch, chicken patty, whole grain breaded",246.0,17.6,13.9,12.5,278.0,34.0,26.0
"Udi's, Gluten Free, Whole Grain Dinner Rolls",329.0,11.8,11.6,44.3,273.0,118.0,96.0
"Rice, white, long-grain, precooked or instant, enriched, dry",380.0,7.82,0.94,82.3,27.0,22.0,14.0
"Rice, white, long-grain, precooked or instant, enriched, prepared",124.0,2.18,0.5,26.8,9.0,8.0,5.0
"Rice, white, long-grain, regular, cooked, enriched, with salt",130.0,2.69,0.28,28.2,35.0,10.0,12.0
"Rice, white, long-grain, regular, cooked, unenriched, with salt",130.0,2.69,0.28,28.2,35.0,10.0,12.0
"Babyfood, cereal, Oatmeal, dry, GERBER, SINGLE GRAIN, fortified",396.0,10.9,6.42,73.6,597.0,1240.0,109.0
"Beverages, coffee substitute, cereal grain beverage, prepared with water",6.0,0.1,0.04,1.3,41.0,4.0,5.0
"Crackers, whole grain, sandwich-type, with peanut butter filling",465.0,14.1,21.2,54.6,330.0,33.0,107.0
