Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
"Beans, snap, green, canned, regular pack, drained solids",21.0,1.04,0.39,4.11,97.0,36.0,12.7
"Beans, snap, green, raw",40.0,1.97,0.275,7.41,290.0,40.0,28.2
"Broccoli, raw",31.0,2.57,0.34,6.27,303.0,46.0,21.0
"Cabbage, green, raw",31.0,0.961,0.228,6.38,207.0,41.8,13.9
"Cabbage, red, raw",34.0,1.24,0.214,6.79,269.0,31.0,13.3
"Carrots, baby, raw",41.0,0.805,0.138,9.08,237.0,42.2,11.1
"Carrots, frozen, unprepared",37.0,0.81,0.47,7.92,210.0,33.0,10.8
"Carrots, mature, raw",48.0,0.941,0.351,10.3,280.0,30.5,12.4
"Celery, raw",17.0,0.492,0.162,3.32,265.0,46.3,10.9
"Cucumber, with peel, raw",16.0,0.625,0.178,2.95,170.0,16.3,10.1
"Flour, cassava",357.0,0.918,0.494,87.3,198.0,74.6,33.6
"Flour, potato",361.0,8.11,0.951,79.9,1270.0,44.1,73.6
"Garlic, raw",143.0,6.62,0.38,28.2,,,
"Kale, frozen, cooked, boiled, drained, without salt",36.0,2.94,1.21,5.3,144.0,150.0,25.0
"Kale, raw",35.0,2.92,1.49,4.42,348.0,254.0,32.7
"Ketchup, restaurant",117.0,1.11,0.55,26.8,249.0,14.0,13.5
"Lettuce, cos or romaine, raw",17.0,1.24,0.26,3.24,253.0,35.0,13.7
"Lettuce, iceberg, raw",17.0,0.742,0.0738,3.37,139.0,14.2,6.31
"Lettuce, leaf, green, raw",22.0,1.09,0.156,4.07,277.0,39.8,12.8
"Lettuce, leaf, red, raw",18.0,0.883,0.106,3.26,321.0,42.6,12.4
"Lettuce, romaine, green, raw",21.0,0.977,0.0712,4.06,260.0,27.6,12.0
"Mushroom, beech",40.0,2.18,0.449,6.76,376.0,0.432,10.5
"Mushroom, crimini",30.0,3.09,0.197,4.01,380.0,4.1,10.2
"Mushroom, enoki",44.0,2.42,0.245,8.14,402.0,1.43,12.8
"Mushroom, king oyster",46.0,2.41,0.308,8.5,294.0,0.0,13.5
"Mushroom, lion's mane",43.0,2.5,0.256,7.59,443.0,0.0,11.7
"Mushroom, maitake",38.0,2.2,0.265,6.6,260.0,0.0,11.0
"Mushroom, oyster",41.0,2.9,0.188,6.94,282.0,0.0,13.9
"Mushroom, pioppini",39.0,3.5,0.24,5.76,392.0,0.0,16.0
"Mushroom, portabella",32.0,2.75,0.312,4.66,349.0,3.24,9.04
"Mushrooms, shiitake",44.0,2.41,0.195,8.17,243.0,0.766,14.1
"Mushrooms, white button",31.0,2.89,0.371,4.08,373.0,5.46,10.2
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",288.0,4.52,14.4,36.3,135.0,28.0,20.4
"Onions, red, raw",44.0,0.94,0.1,9.93,197.0,17.0,11.4
"Onions, white, raw",35.0,0.89,0.13,7.68,141.0,21.0,9.3
"Onions, yellow, raw",38.0,0.83,0.05,8.61,182.0,15.0,9.0
"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",80.0,4.73,1.15,12.7,109.0,28.2,21.9
"Peppers, bell, green, raw",23.0,0.715,0.106,4.78,163.0,7.5,9.0
"Peppers, bell, orange, raw",32.0,0.882,0.156,6.7,201.0,4.9,10.4
"Peppers, bell, red, raw",31.0,0.896,0.126,6.65,213.0,6.36,11.0
"Peppers, bell, yellow, raw",31.0,0.819,0.121,6.6,197.0,6.69,10.3
"Pickles, cucumber, dill or kosher dill",12.0,0.48,0.43,1.99,112.0,54.0,7.1
"Potatoes, gold, without skin, raw",74.0,1.81,0.264,16.0,446.0,5.94,22.3
"Potatoes, red, without skin, raw",76.0,2.06,0.248,16.3,472.0,5.13,23.6
"Potatoes, russet, without skin, raw",83.0,2.27,0.36,17.8,450.0,7.8,25.6
"Spinach, baby",27.0,2.85,0.619,2.41,582.0,68.4,92.9
"Spinach, mature",28.0,2.91,0.604,2.64,460.0,66.6,93.0
"Sweet potatoes, orange flesh, without skin, raw",79.0,1.58,0.375,17.3,486.0,22.3,19.1
"Tomato juice, with added ingredients, from concentrate, shelf stable",23.0,0.859,0.288,4.32,198.0,9.74,10.4
"Tomato, roma",22.0,0.696,0.425,3.84,193.0,9.96,8.09
"Tomatoes, canned, red, ripe, diced",18.0,0.84,0.5,3.32,198.0,30.0,9.8
"Tomatoes, grape, raw",27.0,0.83,0.63,5.51,260.0,11.0,11.9
